,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
AZO,Consumer Discretionary,AutoZone Inc.,0.134279,2497.0,S&P500,20.56,122.14,0.10%,18.70M,6.04%,45.23B,17.20,146.03,-83.41%,18.39M,0.57%,2.42B,2.34,31.21,96.60%,1.48% / 1.76,1.84%,16.89B,2.68,23.10%,-3.04%,0.27M,17.26%,-223.69,-,15.90%,2700.67,22.84%,16.73,150.13,8.80%,-64.70%,1703.32 - 2610.05,1.84%,-,18.12,21.60%,90.60%,-3.77%,0.68,-,0.10,8.30%,51.40%,47.45%,44.91,69440,0.80,9.50%,19.40%,61.42,1.65% 1.72%,Yes,-,10.50%,14.30%,1.34,2458.15,Yes,-,Feb 28 BMO,0.00%,154.42K,2511.54,2.00,4.31%,2.63%,7.82%,"207,041",2.17%,0
CNC,Health Care,Centene Corporation,0.101345,65.3,S&P500,31.81,2.03,0.50%,559.93M,-0.12%,36.13B,9.03,7.16,1.84%,545.25M,-6.37%,1.20B,3.02,1.88,98.40%,1.22% / 1.66,-21.14%,144.55B,0.25,-9.50%,-1.24%,6.68M,-16.89%,42.96,1.51,1.50%,89.44,-23.19%,21.61,2.99,10.55%,4.70%,61.71 - 98.53,-21.14%,-,6.89,0.80%,1.40%,-34.37%,0.57,-,-,24.50%,-,4.80%,1.62,74300,-,9.20%,0.90%,44.98,2.11% 2.44%,Yes,0.75,-137.60%,0.80%,1.21,63.21,Yes,0.75,Apr 25 BMO,0.00%,4.01M,64.67,2.00,0.28%,-6.85%,-19.99%,"4,837,571",2.31%,0
EW,Health Care,Edwards Lifesciences Corporation,0.148743,81.88,S&P500,33.69,2.44,0.10%,613.00M,1.54%,49.10B,28.84,2.85,-27.09%,602.89M,0.31%,1.52B,3.77,0.63,84.90%,2.81% / 4.75,10.13%,5.38B,9.12,2.40%,-0.08%,16.94M,-0.56%,9.47,8.68,18.00%,87.45,-30.20%,2.03,40.41,8.93%,25.60%,67.13 - 131.10,10.13%,-,50.44,12.50%,23.50%,-37.32%,1.02,-,2.20,9.40%,80.00%,22.40%,1.90,17300,3.00,1.40%,32.50%,57.86,1.51% 2.47%,Yes,0.10,21.80%,28.30%,0.64,82.73,Yes,0.10,Jan 31 AMC,0.00%,3.57M,82.17,2.40,3.22%,4.07%,-2.79%,"2,294,966",-0.68%,0
ROP,Information Technology,Roper Technologies Inc.,0.135843,440.42,S&P500,47.77,9.23,0.30%,105.90M,2.45%,46.44B,25.47,17.31,-11.83%,105.62M,2.48%,985.60M,5.00,3.96,97.10%,0.72% / 1.35,2.01%,5.37B,8.64,22.00%,-3.08%,0.76M,22.56%,151.44,2.91,17.80%,500.79,-6.66%,7.53,58.57,9.55%,31.80%,356.21 - 488.23,2.01%,2.73,107.44,4.80%,5.40%,-9.72%,1.04,0.62%,0.60,3.10%,69.90%,23.74%,7.18,15800,0.70,13.90%,28.40%,62.19,0.99% 1.74%,Yes,0.42,48.00%,84.60%,1.05,440.69,Yes,0.37,Jan 27 BMO,5.80%,566.54K,440.79,2.20,2.95%,2.59%,6.12%,"596,463",0.02%,0
KMB,Consumer Staples,Kimberly-Clark Corporation,0.131875,132.37,S&P500,23.62,5.72,0.17%,337.70M,3.60%,45.15B,20.01,6.75,0.00%,336.94M,6.74%,1.93B,2.46,1.39,77.40%,2.31% / 4.52,-0.55%,20.18B,2.24,6.80%,1.13%,7.79M,19.97%,1.62,83.34,10.70%,128.97,9.62%,1.28,105.73,9.61%,339.00%,108.74 - 144.53,-0.55%,4.72,151.00,-1.60%,23.70%,-6.59%,0.42,3.50%,0.50,1.90%,30.80%,24.16%,1.92,44000,0.80,0.00%,13.30%,71.41,0.98% 1.44%,Yes,15.87,42.70%,9.60%,1.11,134.22,Yes,14.33,Apr 25 BMO,80.60%,1.72M,135.01,3.20,6.03%,5.14%,4.66%,"1,905,338",0.59%,1
APH,Information Technology,Amphenol Corporation Class A,0.141345,81.16,S&P500,26.51,3.06,0.58%,595.00M,3.74%,47.67B,24.58,3.30,-24.85%,591.63M,2.60%,1.90B,2.69,0.73,96.80%,0.88% / 2.10,6.67%,12.62B,3.78,22.10%,0.04%,5.18M,21.30%,11.79,6.89,12.60%,86.11,7.79%,2.44,33.24,9.86%,28.70%,61.67 - 82.86,6.67%,0.84,36.29,13.10%,17.60%,-1.98%,1.24,1.03%,1.60,12.50%,31.90%,31.70%,1.46,91000,2.40,7.00%,20.50%,60.99,1.14% 1.85%,Yes,0.65,13.40%,15.10%,1.08,81.72,Yes,0.65,Apr 26 BMO,25.40%,2.47M,81.22,2.30,3.82%,2.82%,8.15%,"2,680,179",-0.61%,0
F,Consumer Discretionary,Ford Motor Company,0.144109,12.7,S&P500,-,-0.49,0.21%,4.00B,10.07%,49.30B,7.72,1.64,-2.19%,3.88B,-3.06%,-1981.00M,-,0.49,52.90%,3.49% / 1.91,14.55%,158.06B,0.31,-111.10%,0.48%,135.18M,18.95%,10.80,1.17,-0.80%,13.27,-21.22%,11.33,1.12,-11.66%,-4.50%,10.10 - 16.32,14.55%,0.60,-,-17.90%,3.90%,-22.32%,1.55,4.73%,1.10,0.20%,10.90%,25.56%,0.42,173000,1.20,16.80%,3.90%,60.69,2.03% 3.45%,Yes,3.21,-89.40%,-1.30%,0.79,12.60,Yes,2.05,Feb 02 AMC,-,70.61M,12.68,2.70,5.89%,2.91%,1.28%,"55,822,897",0.63%,1
OXY,Energy,Occidental Petroleum Corporation,0.131926,65.43,S&P500,5.25,12.43,0.23%,905.80M,9.27%,58.44B,11.17,5.83,-,890.86M,6.42%,12.50B,0.41,1.25,79.40%,5.18% / 3.35,3.48%,36.79B,1.59,501.30%,-2.85%,46.12M,6.07%,22.44,2.90,17.10%,71.44,14.87%,1.10,59.39,12.87%,69.00%,51.53 - 77.13,3.48%,0.72,5.25,49.10%,32.20%,-15.49%,1.80,1.10%,0.90,23.80%,67.20%,26.49%,2.04,11973,1.10,3.90%,37.30%,64.61,2.17% 3.13%,Yes,0.98,24.60%,34.00%,1.77,62.43,Yes,0.97,Feb 27 AMC,3.90%,13.77M,65.18,2.50,8.45%,5.62%,1.23%,"24,386,069",4.40%,1
A,Health Care,Agilent Technologies Inc.,0.119018,137.73,S&P500,31.08,4.43,0.30%,296.00M,3.60%,39.63B,21.86,6.31,-22.11%,294.19M,-4.22%,1.32B,2.27,1.26,90.70%,1.27% / 2.65,-7.88%,6.93B,5.72,6.10%,-3.35%,3.73M,13.42%,18.95,7.27,12.50%,164.29,4.18%,-,-,13.67%,25.00%,112.52 - 160.26,-7.88%,0.90,49.11,14.80%,16.90%,-13.98%,1.04,0.65%,1.50,8.90%,54.50%,22.52%,3.33,18300,2.10,4.90%,24.10%,49.79,1.65% 2.39%,Yes,0.53,26.90%,19.10%,1.10,138.34,Yes,0.49,Feb 28 AMC,18.90%,1.41M,137.86,1.90,1.41%,-4.61%,0.03%,"1,551,753",-0.35%,0
TRV,Financials,Travelers Companies Inc.,0.115319,168.94,"DJIA, S&P 500",14.65,11.76,0.20%,233.10M,3.57%,39.85B,10.24,16.82,-43.51%,230.20M,-6.16%,2.82B,1.66,2.60,85.10%,1.58% / 2.36,-8.11%,36.92B,1.08,-18.80%,-0.71%,3.64M,12.46%,92.49,1.86,2.40%,198.75,-5.71%,3.45,49.88,8.83%,12.60%,149.65 - 194.51,-8.11%,3.72,7.13,8.60%,11.10%,-11.42%,0.62,2.16%,-,5.00%,-,15.13%,3.76,32500,-,7.00%,10.10%,48.35,1.34% 2.25%,Yes,0.34,-35.90%,7.60%,0.83,171.41,Yes,0.33,Apr 19 BMO,30.40%,1.54M,172.29,2.70,0.78%,-4.37%,-1.05%,"1,280,767",0.51%,0
PSA,Real Estate,Public Storage,0.139038,314.58,S&P500,13.10,23.49,8.20%,175.35M,7.46%,52.75B,25.51,12.06,0.02%,151.79M,0.94%,4.14B,0.77,2.90,81.10%,2.60% / 3.78,9.82%,4.18B,12.61,138.10%,0.62%,3.95M,5.09%,32.64,9.43,23.50%,340.00,-17.96%,4.52,68.04,17.00%,74.10%,270.13 - 405.31,9.82%,12.00,-,28.40%,33.80%,-24.08%,0.46,3.90%,-,9.40%,74.80%,13.91%,7.49,5900,-,17.80%,-,62.04,2.18% 2.57%,Yes,1.20,-35.00%,99.00%,3.40,302.14,Yes,1.20,Feb 21 AMC,33.80%,1.05M,307.70,2.10,5.32%,3.79%,1.83%,"3,556,029",1.84%,0
MCO,Financials,Moody's Corporation,0.139822,304.04,S&P500,39.58,7.69,0.10%,183.30M,3.79%,54.84B,27.31,11.14,-32.57%,182.66M,1.90%,1.42B,-,2.23,94.40%,1.28% / 2.69,9.22%,5.47B,10.03,-34.70%,-0.32%,2.34M,25.17%,13.74,22.15,9.60%,325.33,-9.81%,10.31,29.50,-1.40%,58.10%,230.16 - 346.22,9.22%,3.08,81.13,3.70%,16.30%,-12.11%,1.29,1.01%,1.70,5.40%,70.50%,32.21%,6.83,14426,1.70,-16.20%,35.70%,58.17,1.41% 2.43%,Yes,0.00,-29.80%,25.10%,1.08,306.02,Yes,2.93,Jan 31 BMO,37.50%,871.52K,304.30,2.20,3.32%,0.49%,5.86%,"937,480",-0.56%,0
JCI,Industrials,Johnson Controls International plc,0.120114,60.33,S&P500,32.92,1.83,0.20%,687.00M,3.14%,40.97B,15.01,4.02,-11.56%,685.25M,-7.38%,1.27B,2.06,1.02,97.80%,0.90% / 1.68,-5.62%,25.50B,1.61,4.40%,0.09%,6.14M,22.71%,23.36,2.59,3.00%,72.11,-7.88%,2.22,27.15,15.95%,7.80%,45.52 - 69.60,-5.62%,1.44,-,25.20%,7.70%,-13.22%,1.24,2.38%,0.80,2.10%,33.50%,32.69%,1.45,102000,1.00,3.50%,6.30%,47.57,1.50% 2.31%,Yes,0.61,-68.20%,5.00%,0.77,60.22,Yes,0.49,Feb 01 BMO,76.10%,3.66M,60.40,2.10,-0.17%,-4.71%,2.84%,"2,812,205",0.30%,0
CDNS,Information Technology,Cadence Design Systems Inc.,0.167773,211.52,"NDX, S&P 500 NDQ100",68.48,3.09,0.60%,273.21M,2.98%,56.91B,37.81,5.59,-23.59%,270.59M,7.58%,849.00M,3.87,1.25,90.20%,1.65% / 2.54,31.59%,3.56B,15.98,23.70%,0.96%,4.45M,29.35%,10.18,20.77,18.00%,216.57,28.54%,3.28,64.50,17.68%,31.30%,132.32 - 210.23,31.59%,-,50.87,51.80%,25.10%,0.55%,1.06,-,1.20,12.90%,89.60%,59.76%,4.19,10200,1.30,16.40%,30.10%,66.79,1.42% 2.15%,Yes,0.27,38.80%,23.80%,0.92,210.09,Yes,0.24,Feb 13 AMC,0.00%,1.75M,211.39,1.90,4.04%,8.54%,22.75%,"1,603,294",0.62%,0
DXCM,Health Care,DexCom Inc.,0.13042,115.49,"NDX, S&P 500 NDQ100",143.87,0.80,0.10%,386.40M,-0.72%,43.85B,79.09,1.46,-33.96%,384.65M,-6.25%,341.20M,4.70,0.22,98.80%,3.27% / 5.05,1.77%,2.91B,15.07,57.80%,-0.36%,12.58M,43.08%,5.52,20.88,6.60%,133.21,-9.90%,6.46,17.85,30.60%,16.20%,66.89 - 134.76,1.77%,-,143.90,37.80%,8.20%,-14.49%,1.16,-,1.80,32.30%,65.20%,72.28%,3.60,7500,2.00,16.80%,13.40%,52.26,2.66% 3.01%,Yes,0.95,-,11.70%,0.70,116.18,Yes,0.59,Feb 09 AMC,0.00%,2.49M,115.24,1.60,1.09%,2.55%,14.77%,"1,743,273",-0.81%,0
MSI,Information Technology,Motorola Solutions Inc.,0.139272,280.2,S&P500,35.99,7.93,0.10%,167.50M,4.10%,46.99B,22.86,12.48,-68.28%,166.35M,7.08%,1.36B,3.64,2.42,88.30%,0.75% / 1.85,10.76%,9.11B,5.16,10.60%,0.37%,1.25M,27.44%,0.69,413.67,11.40%,291.89,17.85%,8.05,35.46,9.89%,-518.70%,195.18 - 286.24,10.76%,3.52,45.31,12.40%,24.60%,-0.28%,0.93,1.23%,0.90,7.40%,46.40%,46.24%,5.13,20000,1.20,16.70%,18.20%,68.12,1.09% 1.84%,Yes,51.84,48.80%,15.00%,0.99,286.13,Yes,51.84,Feb 09 AMC,38.80%,678.39K,285.43,2.10,5.99%,7.82%,15.31%,"672,558",-0.24%,1
EXC,Utilities,Exelon Corporation,0.121183,42.02,"NDX, S&P 500 NDQ100",20.10,2.08,0.24%,995.00M,3.18%,41.14B,16.68,2.51,-0.26%,991.34M,1.04%,2.05B,1.26,0.49,83.90%,1.35% / 1.83,-3.28%,19.08B,2.16,36.50%,0.36%,13.42M,11.61%,24.87,1.68,2.30%,46.04,-12.22%,0.41,101.07,16.00%,9.00%,35.19 - 50.71,-3.28%,1.44,-,-12.20%,4.60%,-17.55%,0.54,3.44%,0.60,-10.70%,66.90%,18.83%,0.92,19063,0.70,5.50%,17.40%,55.35,1.56% 2.37%,Yes,1.62,36.70%,11.40%,0.68,41.89,Yes,1.44,Feb 14 BMO,61.30%,7.34M,41.81,2.20,1.87%,1.24%,-0.14%,"5,013,235",-0.19%,0
CTVA,Materials,Corteva Inc,0.125408,60.63,S&P500,37.01,1.65,0.20%,714.80M,5.72%,43.21B,17.58,3.47,2.89%,711.23M,-4.24%,1.21B,2.74,1.74,83.30%,0.84% / 1.67,3.78%,17.45B,2.48,-31.90%,-0.09%,5.99M,6.74%,35.40,1.72,2.80%,72.85,6.12%,4.68,13.03,13.49%,4.50%,50.03 - 68.43,3.78%,0.60,-,-13.20%,5.20%,-10.86%,0.80,0.98%,0.90,4.40%,40.20%,21.93%,1.36,21000,1.60,9.90%,9.10%,57.46,1.58% 2.21%,Yes,0.05,-128.90%,6.60%,0.96,60.31,Yes,0.05,Feb 01 AMC,36.70%,3.58M,61.00,2.20,3.53%,-0.05%,0.85%,"3,420,096",1.14%,0
FDX,Industrials,FedEx Corporation,0.154457,228.52,S&P500,19.73,11.60,0.20%,251.00M,4.10%,56.49B,12.49,18.33,0.06%,240.31M,9.45%,2.99B,4.55,4.93,74.80%,2.01% / 2.33,32.12%,92.62B,0.61,-22.10%,1.77%,4.82M,54.13%,98.54,2.32,3.50%,239.81,-1.10%,21.77,10.51,4.33%,12.10%,141.92 - 248.76,32.12%,4.60,55.60,5.30%,11.40%,-8.01%,1.33,2.01%,1.30,9.20%,68.40%,61.25%,5.35,191000,1.30,-6.20%,5.80%,69.97,1.30% 2.38%,Yes,0.82,-27.30%,3.20%,0.96,228.49,Yes,0.81,Mar 16 AMC,36.00%,2.07M,228.84,2.20,7.58%,10.54%,16.98%,"1,979,927",0.15%,1
NXPI,Information Technology,NXP Semiconductors NV,0.140429,181.84,"NDX, S&P 500 NDQ100",17.24,10.56,0.10%,259.66M,4.47%,46.00B,13.15,13.84,0.00%,258.38M,-0.54%,2.79B,1.73,2.94,94.10%,2.32% / 2.90,15.16%,13.21B,3.48,55.50%,-2.42%,5.99M,23.37%,28.69,6.34,12.40%,195.35,-1.67%,15.21,11.96,9.97%,39.80%,132.08 - 198.28,15.16%,4.06,14.96,19.80%,17.50%,-8.22%,1.53,2.23%,1.60,7.40%,56.90%,37.78%,5.85,34500,2.10,9.00%,28.60%,52.74,2.79% 3.18%,Yes,0.00,23.20%,21.10%,0.79,186.48,Yes,1.50,Jan 30 AMC,31.80%,2.07M,181.98,2.30,1.93%,0.24%,8.69%,"1,623,641",-2.41%,0
AFL,Financials,Aflac Incorporated,0.106094,64.64,S&P500,9.86,6.56,0.10%,619.68M,2.46%,39.41B,10.70,6.04,-15.69%,563.18M,-5.52%,4.20B,8.72,1.43,60.60%,1.56% / 3.20,-10.12%,19.53B,2.02,3.10%,-0.89%,8.78M,15.05%,36.09,1.79,3.10%,71.08,0.42%,6.47,10.00,1.13%,16.40%,52.07 - 74.01,-10.12%,1.68,13.59,14.50%,14.90%,-12.64%,0.93,2.60%,-,-2.10%,-,24.18%,1.41,12882,-,-26.20%,24.70%,48.41,1.28% 2.25%,Yes,0.33,-81.10%,21.50%,0.89,64.52,Yes,0.33,Apr 26 AMC,24.30%,2.75M,64.66,2.90,1.27%,-4.36%,0.80%,"2,457,209",0.22%,0
ADSK,Information Technology,Autodesk Inc.,0.130852,206.51,"NDX, S&P 500 NDQ100",54.97,3.78,0.10%,214.78M,4.44%,43.18B,24.83,8.36,-6.78%,214.11M,0.06%,823.00M,3.45,1.55,95.00%,1.11% / 1.67,11.08%,5.00B,8.63,68.60%,2.12%,2.38M,11.12%,5.38,38.58,9.50%,232.21,-3.16%,9.96,20.84,15.95%,94.80%,163.20 - 235.01,11.08%,-,21.26,48.50%,25.30%,-11.67%,1.53,-,0.80,19.50%,90.40%,27.19%,5.98,13700,0.80,8.80%,19.80%,54.80,1.76% 2.85%,Yes,1.99,233.50%,16.40%,1.03,208.16,Yes,1.99,Feb 23 AMC,0.00%,1.43M,207.58,2.10,3.33%,-0.60%,3.09%,"1,472,584",-0.28%,0
ROST,Consumer Discretionary,Ross Stores Inc.,0.107445,108.51,"NDX, S&P 500 NDQ100",24.78,4.38,0.10%,339.75M,7.95%,36.11B,19.78,5.49,-5.82%,338.20M,-3.38%,1.51B,3.05,1.06,92.50%,1.54% / 2.20,-6.41%,18.70B,1.93,-10.10%,-0.34%,5.20M,28.91%,12.62,8.61,11.40%,122.25,20.09%,13.69,7.93,8.13%,36.40%,69.24 - 122.44,-6.41%,1.34,59.78,5.60%,22.50%,-11.28%,0.99,1.23%,1.30,5.80%,25.40%,56.89%,2.52,101000,1.90,3.90%,10.60%,57.61,2.60% 2.33%,Yes,0.57,25.20%,8.10%,1.54,106.13,Yes,0.57,Feb 28 AMC,28.10%,2.36M,108.63,2.00,4.30%,-1.96%,10.65%,"3,635,266",2.36%,0
FIS,Information Technology,Fidelity National Information Services Inc.,0.0937,54.06,S&P500,-,-28.27,0.20%,592.00M,7.73%,30.74B,8.37,6.46,1.29%,587.96M,-15.39%,-16720.00M,-,1.48,93.50%,1.38% / 1.22,-20.28%,14.53B,2.12,-12.00%,-2.21%,8.10M,-28.42%,45.98,1.18,-22.10%,79.93,-46.14%,-,-,2.14%,-40.30%,48.57 - 106.65,-20.28%,2.08,12.14,5.75%,-34.80%,-49.28%,0.84,3.85%,0.80,10.90%,39.30%,11.37%,2.06,69000,0.80,1.10%,-,43.60,2.27% 3.63%,Yes,0.74,-,-,0.86,54.33,Yes,0.52,Feb 13 BMO,-,6.65M,54.09,2.20,0.23%,-15.50%,-30.22%,"5,743,691",-0.44%,0
O,Real Estate,Realty Income Corporation,0.115421,62.89,S&P500,44.27,1.42,0.12%,633.67M,3.56%,41.06B,41.97,1.50,-3.26%,626.41M,-2.51%,869.40M,1.96,0.35,83.00%,2.64% / 4.63,-0.88%,3.34B,12.28,63.90%,3.29%,16.56M,8.02%,45.31,1.39,1.90%,70.50,-9.28%,0.26,239.98,22.62%,3.20%,55.50 - 75.40,-0.88%,3.06,62.69,5.20%,1.60%,-16.62%,0.80,4.87%,-,22.40%,93.20%,13.28%,1.19,391,-,30.40%,24.20%,50.68,1.24% 1.99%,Yes,0.63,5524.00%,26.00%,1.57,63.32,Yes,0.63,Feb 21 AMC,208.80%,3.58M,62.87,2.40,1.15%,-2.85%,-3.88%,"5,614,614",-0.71%,0
WMB,Energy,Williams Companies Inc.,0.105368,29.94,S&P500,17.84,1.67,0.35%,1.22B,3.18%,35.83B,17.01,1.75,-0.38%,1.14B,-3.62%,2.05B,4.82,0.40,88.10%,1.75% / 2.74,-9.27%,10.96B,3.27,34.60%,0.90%,20.01M,4.26%,9.39,3.18,4.30%,36.81,-10.66%,0.13,235.70,3.70%,18.10%,27.80 - 37.97,-9.27%,1.79,12.85,41.80%,7.50%,-21.39%,1.19,6.00%,0.70,6.40%,68.50%,7.37%,0.68,5043,0.80,-10.00%,27.50%,52.42,1.79% 2.38%,Yes,2.00,7.20%,18.70%,1.25,29.86,Yes,1.92,Feb 20 AMC,101.20%,7.29M,29.85,2.40,2.14%,-2.25%,-6.58%,"9,077,689",-0.03%,0
AJG,Financials,Arthur J. Gallagher & Co.,0.118123,193.36,S&P500,37.18,5.20,0.30%,211.20M,3.83%,41.02B,19.53,9.90,-11.30%,208.85M,2.24%,1.11B,3.65,1.92,87.20%,0.95% / 2.20,2.50%,8.55B,4.80,18.60%,1.92%,1.98M,12.87%,43.29,4.46,2.80%,217.36,10.69%,1.61,119.83,10.20%,12.50%,148.24 - 202.37,2.50%,2.20,27.11,12.80%,9.20%,-4.50%,0.70,1.14%,1.00,6.50%,44.30%,30.37%,3.60,44000,1.00,2.80%,18.50%,61.44,1.29% 2.02%,Yes,0.67,22.00%,13.00%,1.11,191.31,Yes,0.61,Jan 26 AMC,37.90%,900.83K,193.26,1.90,4.44%,2.17%,5.46%,"997,675",1.02%,0
BIIB,Health Care,Biogen Inc.,0.116709,277.24,"NDX, S&P 500 NDQ100",13.26,20.92,0.10%,143.80M,2.73%,39.65B,16.80,16.50,-7.57%,143.01M,2.62%,3.05B,9.70,3.99,88.60%,1.38% / 1.99,0.15%,10.17B,3.90,100.60%,0.84%,1.98M,3.87%,93.17,2.98,12.40%,321.07,31.69%,34.22,8.10,1.37%,24.70%,187.16 - 311.88,0.15%,-,34.66,3.70%,9.80%,-11.07%,0.18,-,2.60,-3.70%,77.60%,48.18%,5.31,8725,3.00,-6.90%,25.20%,59.89,1.29% 2.01%,Yes,0.47,51.60%,29.90%,0.78,278.03,Yes,0.47,Feb 15 BMO,0.00%,993.67K,277.34,2.20,4.20%,0.56%,9.20%,"772,839",-0.25%,1
DVN,Energy,Devon Energy Corporation,0.095977,53.39,S&P500,5.84,9.12,0.40%,648.00M,10.88%,34.34B,7.50,7.11,1.36%,647.71M,-4.61%,5.96B,-,1.60,80.70%,2.93% / 1.81,-12.12%,19.17B,1.79,118.00%,0.48%,18.95M,-8.41%,17.23,3.09,25.80%,67.03,-4.98%,2.26,23.62,-4.88%,57.50%,44.03 - 76.30,-12.12%,5.06,13.16,94.00%,34.90%,-30.13%,2.38,9.49%,1.20,24.10%,55.30%,21.08%,2.03,1800,1.30,0.60%,41.60%,57.68,2.29% 3.58%,Yes,0.60,-18.20%,31.10%,1.80,50.61,Yes,0.58,Feb 14 AMC,56.50%,10.49M,53.31,2.20,8.02%,-3.26%,-11.64%,"18,878,049",5.33%,0
MAR,Consumer Discretionary,Marriott International Inc. Class A,0.129848,163.76,"NDX, S&P 500 NDQ100",22.68,7.25,0.90%,316.60M,5.03%,49.77B,19.12,8.60,-1.13%,256.28M,-4.97%,2.36B,0.52,2.03,61.70%,1.58% / 2.18,10.46%,20.77B,2.40,116.90%,-3.35%,4.05M,17.35%,1.79,91.88,9.50%,181.59,-6.42%,1.68,98.16,43.50%,182.30%,131.01 - 195.90,10.46%,1.60,27.53,6.00%,25.50%,-16.05%,1.59,0.97%,0.50,0.30%,21.90%,25.53%,4.11,377000,0.50,33.20%,16.70%,50.08,1.62% 2.35%,Yes,17.72,49.20%,11.40%,0.83,166.04,Yes,16.51,Feb 14 BMO,9.60%,1.86M,164.46,2.70,0.50%,-2.79%,4.91%,"1,532,641",-0.95%,0
TT,Industrials,Trane Technologies plc,0.123138,183.52,S&P500,24.24,7.58,0.10%,230.20M,1.49%,41.84B,20.17,9.11,-23.56%,227.99M,-5.36%,1.78B,2.18,2.52,88.40%,1.15% / 1.83,9.29%,15.99B,2.62,27.00%,1.04%,2.63M,26.86%,26.45,6.95,9.90%,194.12,20.30%,5.36,34.28,11.10%,29.70%,120.64 - 196.22,9.29%,3.00,70.67,8.40%,18.70%,-6.38%,1.04,1.63%,0.80,2.40%,31.00%,52.27%,4.13,39000,1.10,14.10%,15.10%,50.54,1.43% 2.24%,Yes,0.79,41.10%,11.00%,0.78,183.98,Yes,0.62,Feb 02 BMO,26.60%,1.44M,183.70,3.00,-0.38%,0.54%,12.64%,"1,121,916",-0.15%,0
LHX,Industrials,L3Harris Technologies Inc,0.108671,195.86,S&P500,36.43,5.46,0.30%,190.60M,2.27%,37.50B,15.03,13.23,-6.52%,189.51M,-7.10%,1.06B,11.93,2.97,84.70%,0.88% / 1.27,-4.45%,17.06B,2.20,-39.60%,-0.56%,1.67M,-4.27%,97.18,2.05,3.10%,249.37,-19.93%,4.67,42.61,3.06%,5.60%,189.73 - 264.71,-4.45%,4.56,35.99,-0.50%,3.60%,-24.84%,0.72,2.29%,0.90,22.60%,28.70%,4.86%,3.64,46000,1.20,5.20%,6.60%,47.78,1.46% 1.89%,Yes,0.38,-11.70%,6.20%,0.63,196.24,Yes,0.34,Jan 26 AMC,60.80%,1.31M,198.95,-,-0.19%,-3.15%,-9.95%,"827,677",1.38%,0
CTAS,Industrials,Cintas Corporation,0.116347,399.2,"NDX, S&P 500 NDQ100",37.44,12.31,0.50%,101.64M,4.58%,47.33B,32.40,14.22,-3.48%,86.20M,4.30%,-,3.09,3.19,66.40%,1.43% / 3.48,2.05%,-,-,13.80%,0.60%,1.23M,18.72%,33.75,13.66,-,500.08,8.34%,0.87,527.12,12.11%,-,343.86 - 470.23,2.05%,4.60,-,22.80%,21.70%,-1.99%,1.34,1.00%,1.50,8.10%,-,34.03%,9.49,43000,1.90,-43.10%,-,61.77,1.69% 2.00%,Yes,0.85,-46.90%,-,1.02,462.68,Yes,0.72,Mar 29 BMO,32.01%,354.25K,460.86,2.40,4.43%,4.65%,8.77%,"360,982",-0.39%,0
MNST,Consumer Staples,Monster Beverage Corporation,0.119556,53.62,"NDX, S&P 500 NDQ100",38.19,1.40,0.30%,1.04B,2.38%,54.41B,30.41,1.76,-5.07%,752.04M,5.05%,1.19B,1.49,0.39,69.00%,1.30% / 2.39,5.55%,6.31B,8.62,-13.10%,0.72%,9.77M,23.23%,13.45,3.98,14.50%,55.17,34.12%,2.63,20.38,25.70%,17.30%,39.58 - 54.17,5.55%,-,77.83,24.50%,17.10%,-1.09%,0.85,-,3.80,13.40%,50.30%,35.37%,1.00,5296,4.80,6.20%,25.10%,61.98,2.09% 1.89%,Yes,0.00,-4.90%,18.90%,1.19,54.01,Yes,0.00,Feb 28 AMC,0.00%,4.08M,53.58,2.20,3.76%,4.15%,10.69%,"4,845,338",-0.80%,0
SYY,Consumer Staples,Sysco Corporation,0.113959,75.72,S&P500,28.18,2.77,0.20%,507.61M,2.79%,39.53B,16.94,4.61,-8.13%,506.18M,2.49%,1.42B,1.74,1.35,84.30%,2.54% / 5.40,2.24%,73.58B,0.54,159.00%,-1.08%,12.84M,10.54%,2.83,27.62,6.40%,88.42,-4.27%,0.99,79.00,16.16%,108.10%,70.61 - 91.53,2.24%,1.96,218.74,4.90%,16.20%,-14.61%,1.10,2.51%,0.70,4.40%,18.10%,10.69%,1.39,71000,1.20,13.90%,3.20%,60.90,1.17% 1.80%,Yes,7.69,-14.90%,1.90%,0.63,77.23,Yes,7.20,Jan 31 BMO,68.80%,2.38M,78.16,2.40,4.19%,2.41%,-2.80%,"1,504,314",1.20%,1
