,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
ADBE,Information Technology,Adobe Incorporated,0.581406,432.71,S&P500 NDQ100,42.33,10.24,0.10%,472.00M,5.68%,194.27B,27.36,15.84,-3.44%,463.03M,10.88%,4.89B,2.97,3.33,85.00%,1.22%,8.22%,16.69B,11.64,-7.60%,0.02%,1.86,-15.15%,29.63,14.63,18.50%,466.24,-31.43%,11.82,36.66,14.23%,34.30%,338.00 - 699.54,-23.57%,-,28.32,34.00%,26.00%,-38.04%,1.11,-,1.10,21.90%,87.90%,28.23%,12.98,25988,1.10,14.40%,36.20%,67.22,2.98% 3.09%,Yes,0.30,7.30%,29.30%,0.82,430.59,Yes,0.26,Jun 16 AMC,0.00%,3.04M,433.43,1.90,9.69%,10.03%,-11.07%,"2,478,787",0.66%,1
WMT,Consumer Staples,Walmart Inc.,0.503773,126.15,DJIA S&P500,27.20,4.65,0.90%,2.75B,-4.14%,332.63B,19.23,6.58,-14.96%,1.43B,1.01%,13.00B,3.33,1.62,33.10%,0.94%,-17.13%,576.01B,0.58,2.70%,0.31%,1.36,-10.22%,27.92,4.53,5.30%,141.88,-13.00%,4.50,28.15,8.18%,16.10%,117.27 - 160.77,-12.52%,2.24,-,2.10%,14.30%,-21.27%,0.53,1.77%,0.20,3.30%,24.90%,7.94%,3.20,2300000,0.90,2.40%,3.70%,46.86,2.46% 2.18%,Yes,0.68,-23.00%,2.30%,1.08,125.57,Yes,0.48,Aug 16 BMO,47.30%,9.92M,126.58,2.00,-1.71%,0.90%,-9.21%,"10,660,709",0.80%,1
CRM,Information Technology,Salesforce Inc.,0.543046,190.03,DJIA S&P500,184.63,1.03,2.90%,991.00M,3.34%,185.39B,32.80,5.80,-3.37%,962.18M,7.66%,1.00B,11.52,1.02,79.80%,1.18%,10.37%,27.94B,6.64,-66.30%,0.05%,1.53,-10.62%,59.41,3.20,1.10%,244.57,-24.10%,13.85,13.73,16.02%,1.70%,154.55 - 311.75,-25.17%,-,32.39,26.30%,0.60%,-39.00%,1.08,-,1.00,25.70%,73.10%,23.05%,6.39,73541,1.00,24.30%,0.60%,61.39,2.87% 3.36%,Yes,0.18,-94.40%,3.60%,0.55,191.27,Yes,0.16,May 31 AMC,0.00%,7.43M,190.17,1.80,7.41%,9.13%,-11.88%,"4,086,876",-0.58%,1
DHR,Health Care,Danaher Corporation,0.534333,290.25,S&P500,34.15,8.49,0.30%,726.70M,-0.50%,202.69B,26.99,10.75,-1.05%,646.85M,10.08%,6.21B,3.27,2.27,80.50%,0.71%,15.12%,30.82B,6.58,73.90%,0.22%,1.90,0.03%,61.82,4.69,7.50%,325.52,-5.58%,5.70,50.88,10.45%,14.60%,233.71 - 333.96,-11.86%,1.00,32.39,22.50%,9.60%,-13.16%,0.86,0.34%,1.30,11.80%,60.80%,24.09%,6.79,78000,1.80,7.40%,25.10%,66.15,1.55% 2.37%,Yes,0.45,-1.20%,20.10%,0.54,288.95,Yes,0.45,Jul 21 BMO,10.20%,2.42M,290.00,1.90,7.21%,10.97%,2.93%,"1,315,419",0.36%,0
BMY,Health Care,Bristol-Myers Squibb Company,0.438788,72.21,S&P500,23.97,3.01,0.10%,2.13B,-2.25%,156.14B,8.99,8.02,-10.75%,2.13B,-4.02%,6.62B,4.89,1.84,79.20%,1.28%,-5.42%,47.14B,3.31,178.00%,0.13%,2.21,12.56%,15.28,4.72,6.20%,81.38,5.41%,6.13,11.77,4.90%,19.30%,53.22 - 80.59,15.67%,2.16,16.00,3.30%,9.40%,-10.51%,0.41,3.00%,1.30,19.00%,79.20%,35.51%,1.32,32200,1.40,1.60%,21.00%,36.65,1.37% 1.72%,Yes,1.29,41.10%,14.00%,0.72,72.12,Yes,1.14,Jul 27 BMO,67.90%,12.39M,72.12,2.20,-2.38%,-4.07%,5.11%,"8,969,490",0.00%,1
NEE,Utilities,NextEra Energy Inc.,0.493907,88.17,S&P500,67.37,1.31,0.20%,1.97B,4.13%,164.45B,28.56,3.08,0.86%,1.96B,9.46%,2.58B,7.42,0.79,79.80%,1.23%,22.47%,17.49B,9.40,18.70%,0.29%,2.54,16.11%,18.54,4.75,1.80%,91.64,9.31%,1.53,57.48,9.07%,7.10%,67.22 - 93.73,-5.76%,1.70,29.23,3.00%,2.80%,-6.13%,0.47,1.93%,0.50,1.10%,-,30.88%,2.03,15000,0.50,32.00%,14.40%,74.21,2.26% 2.04%,Yes,1.74,438.40%,14.80%,0.91,87.98,Yes,1.46,Jul 22 BMO,123.30%,9.50M,87.98,2.00,7.98%,12.16%,8.56%,"8,639,578",0.00%,0
PM,Consumer Staples,Philip Morris International Inc.,0.43411,97.6,S&P500,16.76,5.82,0.20%,1.55B,0.46%,151.00B,16.49,5.92,-4.83%,1.55B,2.75%,9.06B,11.97,1.34,76.30%,0.47%,-2.18%,31.80B,4.75,13.00%,-0.06%,1.34,-5.98%,-6.51,-,22.00%,109.17,-2.00%,2.99,32.67,1.40%,-86.80%,85.64 - 112.48,2.74%,5.00,41.49,5.40%,58.20%,-13.23%,0.65,5.12%,0.50,3.30%,66.60%,13.97%,1.91,69600,0.90,2.10%,40.80%,53.38,1.36% 1.90%,Yes,-,-3.10%,28.60%,0.43,98.00,Yes,-,Jul 21 BMO,83.20%,5.46M,97.60,2.40,3.32%,-1.46%,-0.53%,"2,344,971",-0.41%,0
T,Communication Services,AT&T Inc.,0.373767,18.35,S&P500,6.79,2.70,0.12%,7.17B,-2.29%,128.05B,7.31,2.51,0.00%,7.12B,-13.24%,19.93B,-,0.62,54.80%,1.09%,-8.02%,140.24B,0.91,468.40%,0.54%,1.92,-1.32%,23.57,0.78,3.60%,22.11,-13.25%,5.53,3.32,-4.76%,12.00%,16.67 - 21.53,-1.48%,1.11,12.36,5.70%,5.20%,-14.77%,0.45,6.05%,0.90,0.60%,55.30%,10.07%,0.41,203000,0.90,-32.40%,16.60%,33.16,1.43% 1.81%,Yes,1.23,-40.20%,14.20%,0.81,18.27,Yes,1.07,Jul 21 BMO,75.00%,40.34M,18.35,2.60,-5.62%,-9.17%,-3.92%,"32,690,760",0.44%,1
WFC,Financials,Wells Fargo & Company,0.463264,43.72,S&P500,10.49,4.17,0.10%,3.83B,-0.25%,165.38B,8.70,5.03,-0.62%,3.79B,9.07%,16.49B,1.44,1.10,73.60%,0.84%,-2.23%,41.69B,3.97,-13.70%,-0.41%,1.41,-20.68%,41.55,1.05,1.00%,53.08,-6.87%,113.01,0.39,7.28%,12.20%,36.54 - 60.30,-8.80%,1.20,-,4.40%,10.50%,-27.43%,1.18,2.74%,-,-5.90%,-,19.76%,1.27,246577,-,1.30%,95.80%,57.88,2.67% 2.81%,Yes,0.96,-14.10%,48.60%,0.71,42.77,Yes,0.96,Jul 15 BMO,12.00%,22.50M,43.76,2.00,3.92%,4.89%,-9.05%,"16,006,648",2.31%,1
INTC,Information Technology,Intel Corporation,0.416686,35.37,DJIA S&P500 NDQ100,7.59,4.66,0.06%,4.10B,-2.53%,160.13B,12.44,2.85,1.08%,4.07B,-7.21%,19.11B,7.14,0.41,63.80%,1.72%,-20.65%,73.39B,2.18,-1.60%,-0.08%,1.81,-26.70%,24.69,1.43,11.20%,43.08,-34.33%,5.98,5.92,1.06%,19.60%,35.24 - 56.28,-31.28%,1.46,10.35,18.10%,13.20%,-37.12%,0.67,4.13%,1.40,5.90%,49.80%,0.43%,1.29,121100,1.90,-22.00%,20.20%,36.26,2.74% 2.75%,Yes,0.35,-108.90%,26.00%,1.04,35.66,Yes,0.32,Jul 28 AMC,30.40%,38.72M,35.39,2.90,-7.44%,-9.71%,-23.86%,"40,091,107",-0.76%,1
RTX,Industrials,Raytheon Technologies Corporation,0.39472,93.02,S&P500,31.10,2.99,0.10%,1.48B,-0.19%,133.03B,16.43,5.66,-2.36%,1.47B,-0.97%,4.49B,1.92,1.16,81.60%,0.77%,-3.42%,65.29B,2.04,212.80%,0.20%,2.35,0.24%,47.62,1.95,2.80%,111.00,7.08%,3.33,27.91,16.20%,6.20%,79.00 - 106.02,8.10%,2.20,90.87,-15.90%,3.40%,-12.25%,1.14,2.36%,0.80,2.40%,20.20%,17.76%,2.24,174000,1.10,2.70%,6.80%,49.27,2.13% 2.22%,Yes,0.45,27.40%,6.80%,0.69,92.78,Yes,0.44,Jul 26 BMO,69.10%,4.82M,93.03,1.90,0.03%,-0.86%,0.16%,"3,317,863",0.27%,1
LIN,Materials,Linde plc,0.43469,301.97,S&P500,38.90,7.76,0.10%,512.56M,-0.01%,146.00B,23.15,13.05,0.82%,506.32M,10.26%,4.02B,3.90,2.94,81.40%,0.93%,-3.40%,31.76B,4.60,55.70%,-0.06%,1.84,-3.15%,79.18,3.81,4.40%,353.60,-0.94%,7.56,39.95,9.98%,8.30%,265.12 - 352.18,-12.83%,4.68,31.72,7.00%,6.40%,-14.26%,0.88,1.55%,0.60,23.90%,42.40%,13.90%,5.80,72438,0.70,11.50%,14.80%,60.48,1.31% 1.71%,Yes,0.40,-54.10%,11.20%,0.44,302.24,Yes,0.28,Jul 28 BMO,64.00%,2.55M,301.97,1.70,5.45%,1.33%,-3.38%,"1,112,090",-0.09%,0
QCOM,Information Technology,Qualcomm Incorporated,0.483316,150.22,S&P500 NDQ100,13.31,11.29,0.12%,1.12B,3.55%,178.41B,11.62,12.93,-0.43%,1.12B,11.76%,12.86B,1.75,3.15,75.40%,1.52%,6.05%,42.14B,4.23,74.00%,-0.10%,1.78,-16.13%,14.30,10.50,29.30%,194.42,2.30%,5.77,26.05,7.62%,101.50%,118.22 - 193.58,-17.86%,3.00,50.54,15.60%,33.20%,-22.40%,1.25,2.00%,1.10,7.30%,58.00%,27.05%,5.11,45000,1.60,35.70%,35.70%,58.67,2.85% 3.28%,Yes,0.97,85.80%,30.50%,0.53,151.01,Yes,0.85,Jul 27 AMC,24.40%,9.53M,150.21,2.00,3.02%,9.43%,-2.98%,"5,031,389",-0.53%,1
TXN,Information Technology,Texas Instruments Incorporated,0.486718,183.99,S&P500 NDQ100,20.15,9.14,0.10%,920.00M,3.02%,161.48B,20.40,9.03,-8.73%,913.13M,19.14%,8.54B,2.02,2.40,87.50%,1.82%,8.23%,19.59B,8.24,38.50%,0.86%,2.87,4.96%,15.32,12.03,34.90%,185.83,-4.59%,9.57,19.25,10.00%,63.70%,144.46 - 202.26,-2.21%,4.60,91.64,18.90%,37.10%,-8.88%,1.00,2.50%,4.20,6.50%,69.30%,27.58%,4.45,31000,5.10,13.80%,51.50%,73.15,2.01% 2.44%,Yes,0.51,19.40%,43.60%,0.64,184.91,Yes,0.48,Jul 26 AMC,48.30%,5.80M,184.30,2.60,10.66%,13.19%,4.51%,"3,687,087",-0.33%,1
UPS,Industrials,United Parcel Service Inc. Class B,0.408252,196.75,S&P500,15.78,12.46,0.05%,874.00M,0.96%,162.23B,15.09,13.04,-18.82%,596.07M,5.68%,10.93B,2.82,2.88,71.40%,2.00%,9.44%,100.10B,1.62,852.10%,0.15%,3.68,-13.96%,17.64,11.15,19.10%,209.18,3.33%,15.22,12.93,5.61%,98.20%,165.34 - 233.72,-8.20%,6.08,21.99,30.60%,25.20%,-15.81%,1.08,3.09%,1.50,9.60%,75.60%,19.00%,4.26,534000,1.50,6.40%,12.80%,66.18,1.56% 2.08%,Yes,1.42,-44.60%,12.90%,0.55,194.52,Yes,1.28,Jul 26 BMO,27.60%,3.24M,196.76,2.30,5.52%,7.91%,-1.02%,"1,784,663",1.15%,0
UNP,Industrials,Union Pacific Corporation,0.408023,227.66,S&P500,21.29,10.74,0.10%,625.60M,0.58%,138.11B,18.16,12.59,-0.66%,622.95M,7.52%,6.85B,1.45,3.04,81.30%,0.89%,-1.24%,23.43B,5.90,26.40%,0.22%,2.04,-6.44%,20.32,11.25,10.80%,240.85,4.32%,1.38,165.60,14.64%,52.00%,195.68 - 278.94,-9.25%,5.20,53.47,14.50%,16.80%,-18.04%,1.15,2.27%,0.50,1.80%,78.50%,16.84%,4.54,30452,0.70,13.90%,41.60%,64.88,1.60% 1.94%,Yes,2.52,7.50%,29.20%,0.54,227.35,Yes,2.33,Jul 21 BMO,43.90%,2.73M,228.62,2.10,5.82%,6.04%,-3.77%,"1,481,000",0.56%,1
AMGN,Health Care,Amgen Inc.,0.377025,245.16,DJIA S&P500 NDQ100,24.24,10.16,0.20%,548.00M,-0.49%,133.80B,13.03,18.90,-1.28%,533.12M,-0.47%,5.72B,3.41,4.40,81.30%,3.25%,5.08%,26.32B,5.08,-16.50%,0.20%,5.52,9.91%,1.67,147.46,9.30%,251.76,5.24%,12.04,20.45,7.10%,95.10%,198.64 - 258.45,9.46%,7.76,30.83,0.10%,17.10%,-4.72%,0.57,3.15%,1.10,2.50%,75.20%,23.97%,4.22,24200,1.40,5.70%,30.40%,49.47,1.62% 1.63%,Yes,40.23,-5.40%,21.70%,0.87,246.98,Yes,39.31,Aug 04 AMC,70.80%,3.14M,246.25,2.60,-0.44%,0.20%,6.18%,"2,721,860",-0.30%,1
NKE,Consumer Discretionary,NIKE Inc. Class B,0.416452,113.35,DJIA S&P500,30.35,3.75,0.10%,1.57B,-0.91%,167.64B,24.82,4.59,-8.84%,1.25B,5.31%,6.05B,2.47,0.94,83.40%,1.19%,-4.01%,46.71B,3.59,5.50%,-0.26%,1.98,-21.64%,9.72,11.72,15.50%,139.10,-34.50%,8.83,12.90,12.27%,40.70%,99.53 - 179.10,-31.68%,1.22,64.65,8.40%,24.60%,-36.42%,1.02,1.07%,1.80,6.30%,46.00%,14.41%,3.22,79100,2.60,-0.90%,14.30%,56.52,1.80% 2.48%,Yes,0.62,-3.40%,12.90%,0.55,114.48,Yes,0.58,Jun 27 AMC,30.30%,7.50M,113.87,2.10,4.51%,3.08%,-16.78%,"4,157,191",-0.53%,1
IBM,Information Technology,International Business Machines Corporation,0.338356,132.2,DJIA S&P500,20.99,6.31,0.10%,901.50M,1.29%,118.13B,13.09,10.12,-0.18%,897.90M,-5.93%,5.73B,2.33,1.91,56.90%,2.50%,-2.53%,59.68B,1.98,13.40%,0.04%,4.04,-3.85%,21.53,6.15,-,142.79,-2.85%,8.48,15.63,9.00%,-,114.56 - 144.73,-0.88%,6.60,-,-16.20%,6.50%,-8.46%,0.86,4.98%,0.80,-6.40%,54.00%,15.64%,2.49,307600,0.90,9.30%,-,47.04,1.33% 1.72%,Yes,2.59,82.20%,-,0.46,131.64,Yes,2.28,Jul 18 AMC,-,5.55M,132.48,2.60,-0.54%,-2.97%,1.66%,"2,579,925",0.64%,1
CVS,Health Care,CVS Health Corporation,0.381312,102.0,S&P500,17.00,6.02,0.20%,1.31B,6.88%,134.36B,11.38,8.99,-14.07%,1.30B,9.10%,8.00B,3.75,2.17,80.30%,1.07%,4.64%,299.84B,0.45,8.80%,0.15%,2.71,-5.94%,56.27,1.82,3.40%,117.02,27.75%,8.63,11.85,4.53%,10.80%,79.33 - 111.25,-0.87%,2.20,9.25,3.90%,7.80%,-8.08%,0.75,2.15%,0.60,10.50%,39.80%,28.90%,2.25,300000,0.90,11.20%,4.20%,70.31,2.44% 1.96%,Yes,0.76,3.50%,2.70%,0.83,101.87,Yes,0.71,Aug 03 BMO,33.80%,5.13M,102.26,2.20,7.05%,8.22%,3.54%,"4,280,353",0.38%,0
MDT,Health Care,Medtronic Plc,0.356827,92.61,S&P500,24.97,3.74,0.24%,1.34B,0.82%,124.88B,15.52,6.01,-0.20%,1.33B,4.22%,5.04B,1.97,1.12,84.10%,0.77%,-10.78%,31.69B,3.94,44.20%,0.04%,1.81,-8.70%,39.32,2.37,5.50%,111.32,-27.14%,7.90,11.81,12.66%,9.70%,86.70 - 135.89,-9.83%,2.72,48.10,5.20%,6.90%,-31.36%,0.77,2.92%,1.50,1.30%,68.50%,7.59%,1.55,95000,1.90,-1.20%,18.20%,56.98,1.46% 1.57%,Yes,0.46,10.30%,15.90%,0.59,93.21,Yes,0.39,Aug 23 BMO,67.10%,5.66M,93.28,2.10,2.77%,1.13%,-10.83%,"3,331,666",0.08%,1
AMT,Real Estate,American Tower Corporation,0.36022,271.32,S&P500,47.09,5.78,0.20%,458.78M,0.50%,120.62B,56.05,4.86,-3.31%,454.72M,5.84%,2.63B,4.48,1.02,91.50%,0.83%,12.72%,9.86B,12.24,49.50%,0.02%,1.87,8.57%,15.17,17.94,4.20%,292.74,-3.74%,4.66,58.37,10.50%,48.90%,220.00 - 303.72,-6.94%,5.72,326.63,23.40%,5.90%,-10.38%,0.46,2.10%,0.50,10.10%,70.50%,23.72%,6.18,6378,0.50,16.30%,29.90%,62.93,1.86% 2.34%,Yes,5.87,18.40%,28.30%,0.58,271.27,Yes,5.35,Jul 28 BMO,88.00%,2.01M,272.19,2.20,4.71%,6.02%,6.30%,"1,154,965",0.34%,0
AMD,Information Technology,Advanced Micro Devices Inc.,0.481188,101.95,S&P500 NDQ100,38.16,2.68,0.40%,1.62B,8.30%,157.63B,20.83,4.91,-4.77%,1.61B,29.02%,3.39B,1.36,1.03,68.50%,2.17%,8.99%,18.88B,8.35,24.70%,0.18%,0.33,-14.80%,39.72,2.58,13.40%,128.30,-8.94%,4.24,24.13,28.10%,17.60%,71.60 - 164.46,-28.90%,-,47.59,44.60%,40.10%,-37.79%,1.95,-,2.00,30.90%,48.50%,42.89%,4.30,15500,2.40,70.90%,20.80%,68.26,5.29% 4.57%,Yes,0.03,23.60%,18.00%,0.90,103.91,Yes,0.03,Aug 02 AMC,0.00%,104.49M,102.31,2.10,16.75%,14.94%,-9.40%,"93,738,288",-1.54%,1
HON,Industrials,Honeywell International Inc.,0.374358,192.27,DJIA S&P500 NDQ100,26.22,7.33,0.10%,679.00M,-0.10%,124.90B,19.86,9.68,-6.48%,649.73M,10.63%,5.08B,2.79,2.19,75.50%,0.86%,-2.83%,34.46B,3.62,17.80%,-0.03%,1.93,0.28%,25.83,7.44,8.00%,206.53,-16.36%,13.33,14.42,9.40%,28.10%,167.35 - 234.68,-7.79%,3.92,113.96,5.00%,14.70%,-18.07%,1.07,2.04%,0.90,-2.60%,32.10%,14.89%,3.78,99000,1.20,1.60%,19.40%,66.56,1.48% 1.84%,Yes,1.09,-9.60%,14.70%,0.64,192.44,Yes,0.71,Jul 28 BMO,25.80%,2.89M,192.27,2.40,6.37%,5.08%,-2.40%,"1,847,269",-0.09%,1
SPGI,Financials,S&P Global Inc.,0.374842,377.18,S&P500,27.18,13.86,0.10%,275.20M,-0.07%,122.58B,25.69,14.66,-8.89%,240.71M,7.05%,3.50B,2.59,2.94,93.80%,3.15%,8.58%,8.67B,14.14,29.40%,0.29%,3.00,-8.83%,144.27,2.61,12.90%,410.06,-14.73%,-,-,10.50%,31.30%,311.87 - 484.21,-20.19%,3.40,53.86,9.50%,54.00%,-22.21%,1.04,0.90%,1.40,7.90%,72.10%,20.77%,8.81,22850,1.40,18.50%,57.90%,64.76,2.52% 2.29%,Yes,0.29,43.00%,40.40%,0.39,377.90,Yes,0.29,Aug 02 BMO,22.10%,2.53M,376.65,1.70,4.83%,8.86%,-5.86%,"977,133",-0.33%,1
COP,Energy,ConocoPhillips,0.332219,92.9,S&P500,9.55,9.72,0.10%,1.30B,-4.70%,114.97B,7.31,12.71,-42.33%,1.29B,7.53%,12.86B,0.47,3.80,81.50%,1.08%,-9.03%,53.76B,2.14,342.80%,0.16%,1.69,3.28%,37.80,2.46,14.40%,123.40,68.20%,5.77,16.09,20.53%,28.10%,50.72 - 123.12,30.02%,3.01,12.95,32.60%,10.80%,-24.59%,1.38,3.24%,1.40,13.70%,51.20%,83.06%,3.90,9400,1.50,80.80%,32.90%,51.20,4.14% 3.58%,Yes,0.38,484.30%,23.90%,0.71,89.88,Yes,0.36,Aug 04 BMO,20.60%,8.22M,92.85,1.90,4.13%,-4.98%,4.03%,"5,843,932",3.30%,0
ELV,Health Care,Elevance Health Inc.,0.32786,475.13,S&P500,19.05,24.94,0.20%,240.70M,-0.41%,111.86B,14.60,32.54,0.00%,238.77M,-0.77%,6.10B,1.53,7.16,94.00%,0.97%,-6.26%,149.13B,0.75,37.60%,0.27%,2.07,5.17%,148.78,3.19,6.20%,546.74,26.14%,27.42,17.33,12.43%,17.00%,355.43 - 533.68,2.50%,5.12,16.32,21.80%,11.70%,-10.97%,0.92,1.08%,-,10.30%,-,33.68%,13.16,98200,-,14.10%,5.80%,49.92,2.36% 2.57%,Yes,0.66,-6.30%,4.10%,0.56,474.90,Yes,0.59,Jul 20 BMO,19.10%,1.12M,475.13,2.00,0.16%,-1.01%,2.41%,"623,808",0.05%,0
LOW,Consumer Discretionary,Lowe's Companies Inc.,0.372482,198.4,S&P500,16.23,12.27,0.10%,660.00M,3.94%,126.17B,13.64,14.60,0.00%,638.45M,9.64%,8.42B,1.73,4.62,79.40%,1.94%,1.61%,95.49B,1.32,55.30%,-0.03%,3.22,-14.96%,-10.42,-,17.40%,236.70,4.41%,-,-,9.40%,-250.60%,170.12 - 263.31,-22.98%,4.20,26.38,28.20%,46.80%,-24.39%,1.25,2.11%,0.20,8.20%,33.50%,17.02%,5.10,200000,1.20,-3.10%,12.70%,63.69,2.45% 2.42%,Yes,-,9.40%,8.80%,0.63,197.16,Yes,-,Aug 17 BMO,24.40%,3.84M,199.08,1.90,5.40%,6.97%,-8.27%,"2,408,070",0.97%,0
ORCL,Information Technology,Oracle Corporation,0.347566,77.35,S&P500,32.23,2.40,43.20%,2.67B,-0.63%,200.92B,13.15,5.88,-0.51%,1.51B,7.68%,6.72B,2.67,1.07,43.10%,1.02%,6.25%,42.44B,4.73,-47.00%,-0.12%,1.91,-5.60%,-2.33,-,6.00%,88.28,-13.51%,8.43,9.17,12.07%,-101.20%,63.76 - 106.34,-11.31%,1.28,127.89,1.50%,14.40%,-27.26%,0.86,1.65%,-,2.30%,79.10%,21.31%,1.47,143000,1.60,5.50%,25.70%,64.71,1.55% 1.93%,Yes,-,-15.20%,15.80%,0.60,77.40,Yes,-,Jun 13 AMC,51.40%,8.10M,77.35,2.70,4.76%,8.04%,-4.56%,"4,851,113",-0.06%,1
INTU,Information Technology,Intuit Inc.,0.376341,468.99,S&P500 NDQ100,53.26,8.81,0.20%,282.00M,2.81%,125.62B,33.84,13.86,-11.91%,274.17M,14.15%,2.50B,3.09,0.98,87.20%,0.93%,14.43%,12.87B,9.76,9.20%,0.77%,1.36,-12.43%,60.15,7.80,11.70%,518.17,-12.83%,14.58,32.18,17.24%,19.20%,339.36 - 716.86,-27.09%,2.72,38.92,20.00%,16.90%,-34.58%,1.17,0.58%,1.60,15.50%,82.40%,38.20%,15.28,13500,1.60,35.00%,23.70%,67.71,2.85% 3.53%,Yes,0.00,18.30%,19.40%,0.49,466.30,Yes,0.40,Aug 23 AMC,28.40%,1.89M,468.99,1.80,11.15%,15.63%,-6.68%,"932,317",0.58%,0
MS,Financials,Morgan Stanley,0.34136,86.06,S&P500,11.64,7.40,0.30%,1.73B,2.17%,145.25B,10.99,7.84,-0.33%,1.34B,11.87%,13.11B,7.32,1.53,65.20%,1.18%,1.40%,59.58B,2.44,24.20%,0.01%,1.98,-15.80%,54.91,1.57,1.20%,95.37,-11.96%,80.70,1.07,1.59%,14.90%,72.05 - 109.73,-12.26%,3.10,5.19,22.40%,2.00%,-21.51%,1.40,3.60%,-,10.00%,90.30%,19.54%,1.98,77000,-,-5.50%,33.00%,68.04,1.78% 2.25%,Yes,6.99,-7.90%,24.40%,0.78,85.36,Yes,2.37,Jul 14 BMO,25.70%,7.99M,86.13,-,6.66%,7.87%,-5.16%,"6,212,262",0.90%,0
GS,Financials,Goldman Sachs Group Inc.,0.325718,334.02,DJIA S&P500,7.57,44.23,0.10%,351.20M,0.38%,111.89B,8.68,38.56,-2.84%,341.54M,12.08%,15.71B,-,8.05,71.00%,1.47%,6.90%,58.31B,1.92,140.30%,-0.21%,1.99,-6.75%,297.65,1.12,1.40%,394.53,-12.91%,820.04,0.41,-6.59%,21.50%,277.84 - 426.16,-12.52%,10.00,-,29.60%,2.20%,-21.47%,1.39,2.99%,-,11.30%,79.10%,20.45%,7.72,45100,-,-25.70%,46.40%,65.13,1.65% 2.34%,Yes,8.90,-42.10%,36.30%,0.74,331.87,Yes,2.56,Jul 18 BMO,10.80%,2.52M,334.67,2.20,6.35%,8.78%,-3.47%,"1,874,985",0.84%,1
LMT,Industrials,Lockheed Martin Corporation,0.289756,426.39,S&P500,24.67,17.29,0.06%,265.80M,3.04%,108.89B,15.45,27.60,-15.23%,264.99M,1.00%,4.71B,2.57,6.70,76.70%,0.96%,-3.78%,64.17B,1.70,-7.10%,0.20%,1.97,9.42%,43.01,9.91,9.10%,461.28,18.19%,6.95,61.35,9.60%,44.80%,324.23 - 479.99,19.98%,11.20,24.42,13.50%,27.30%,-11.16%,0.68,2.63%,1.10,7.20%,13.40%,31.52%,10.42,114000,1.30,-9.30%,10.80%,60.19,2.56% 2.37%,Yes,0.00,-82.20%,7.30%,0.72,428.13,Yes,1.02,Jul 19 BMO,63.40%,1.29M,426.41,2.50,4.72%,1.46%,6.51%,"931,745",-0.40%,1
NOW,Information Technology,ServiceNow Inc.,0.282426,494.3,S&P500,546.19,0.91,0.10%,200.96M,10.79%,99.63B,53.54,9.24,-31.16%,198.71M,-0.44%,184.00M,20.58,1.85,90.30%,2.01%,5.44%,6.60B,15.10,93.40%,-0.01%,2.15,-11.77%,20.87,23.71,1.70%,566.96,-16.90%,19.04,25.99,26.54%,4.80%,406.47 - 707.60,-23.76%,-,49.27,19.60%,4.50%,-30.07%,0.95,-,1.10,33.50%,77.50%,21.74%,22.59,16881,1.10,24.30%,3.30%,61.02,5.01% 4.78%,Yes,0.35,-66.20%,2.80%,1.60,493.00,Yes,0.35,Jul 27 AMC,0.00%,1.86M,494.85,1.80,10.14%,6.56%,-9.71%,"2,975,019",0.38%,0
SCHW,Financials,Charles Schwab Corp,0.297377,69.3,S&P500,22.79,3.04,0.10%,1.89B,0.38%,118.99B,14.44,4.80,-36.36%,1.70B,7.89%,5.79B,1.18,1.05,75.30%,0.86%,-0.77%,19.60B,6.07,33.20%,0.21%,1.83,-22.03%,19.75,3.51,0.80%,87.36,0.01%,53.08,1.31,19.32%,12.00%,59.35 - 96.24,-17.59%,0.88,98.91,16.60%,1.10%,-27.98%,1.09,1.27%,-,20.00%,97.20%,16.78%,2.01,34200,-,-0.20%,39.40%,63.80,2.50% 2.84%,Yes,13.15,-8.60%,27.40%,0.61,69.00,Yes,0.58,Jul 18 BMO,25.40%,7.97M,69.31,1.90,7.83%,7.32%,-10.71%,"4,865,753",0.45%,0
