,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
ADBE,Information Technology,Adobe Incorporated,0.555435,410.0,S&P500 NDQ100,40.05,10.24,0.10%,472.00M,2.05%,195.28B,25.88,15.84,-4.28%,463.03M,11.29%,4.89B,2.81,3.33,85.00%,1.22%,-0.10%,16.69B,11.70,-7.60%,0.04%,1.84,-16.82%,29.63,13.84,18.50%,466.24,-34.03%,11.13,36.85,14.23%,34.30%,338.00 - 699.54,-27.68%,-,28.47,34.00%,26.00%,-41.37%,1.12,-,1.10,21.90%,87.90%,21.34%,13.25,25988,1.10,14.40%,36.20%,59.17,3.39% 3.20%,Yes,0.30,7.30%,29.30%,0.87,403.50,Yes,0.26,Jun 16 AMC,0.00%,3.08M,410.12,1.90,6.50%,4.53%,-16.64%,"2,668,961",1.64%
WMT,Consumer Staples,Walmart Inc.,0.530678,131.75,DJIA S&P500,28.37,4.65,0.90%,2.75B,-0.12%,362.90B,18.97,6.96,-14.40%,1.43B,8.31%,13.00B,2.74,1.81,33.10%,0.94%,-15.47%,576.01B,0.63,2.70%,0.31%,1.40,-2.79%,27.92,4.73,5.30%,154.04,-7.16%,4.30,30.71,10.35%,16.10%,117.27 - 160.77,-8.74%,2.24,-,2.10%,14.30%,-17.86%,0.54,1.70%,0.20,3.30%,24.90%,12.60%,3.30,2300000,0.90,2.40%,3.70%,58.45,2.91% 1.99%,Yes,0.68,-23.00%,2.30%,1.04,129.75,Yes,0.48,May 17 BMO,47.30%,9.64M,132.05,2.00,3.93%,5.92%,-5.44%,"10,041,834",1.77%
CRM,Information Technology,Salesforce Inc.,0.524733,183.75,DJIA S&P500,178.66,1.03,0.10%,991.00M,0.85%,185.99B,31.71,5.80,-49.47%,962.18M,7.86%,1.00B,11.15,1.02,79.70%,1.18%,-0.93%,27.94B,6.66,-66.30%,-0.02%,1.50,-13.50%,59.41,3.10,1.10%,245.64,-24.59%,13.36,13.77,16.02%,1.70%,154.55 - 311.75,-27.59%,-,32.50,26.30%,0.60%,-40.97%,1.09,-,1.00,25.70%,73.10%,19.07%,6.87,73541,1.00,24.30%,0.60%,57.64,3.70% 3.46%,Yes,0.18,-94.40%,3.60%,0.62,181.29,Yes,0.16,May 31 AMC,0.00%,7.60M,184.02,1.80,6.24%,7.26%,-15.72%,"4,749,955",1.51%
DHR,Health Care,Danaher Corporation,0.544848,291.01,S&P500,34.32,8.49,0.30%,726.70M,6.44%,216.09B,26.89,10.84,-2.12%,646.15M,15.27%,6.21B,3.28,2.28,80.60%,0.71%,13.41%,30.82B,7.01,73.90%,0.25%,1.85,7.96%,61.82,4.71,7.50%,324.08,-2.07%,5.37,54.24,10.45%,14.60%,233.71 - 333.96,-11.41%,1.00,34.53,22.50%,9.60%,-12.72%,0.85,0.34%,1.30,11.80%,60.80%,24.72%,7.74,78000,1.80,7.40%,25.10%,69.47,2.25% 2.66%,Yes,0.45,-1.20%,20.10%,1.19,289.01,Yes,0.45,Jul 21 BMO,10.20%,2.49M,291.47,1.90,10.87%,13.23%,3.35%,"2,966,232",0.85%
BMY,Health Care,Bristol-Myers Squibb Company,0.463334,73.78,S&P500,26.20,2.82,0.10%,2.15B,1.14%,157.28B,9.17,8.04,-10.90%,2.13B,-5.75%,6.25B,5.85,1.81,79.20%,1.28%,-4.43%,46.96B,3.35,178.00%,0.18%,2.08,15.53%,14.72,5.01,5.80%,80.83,8.26%,7.02,10.51,4.47%,17.70%,53.22 - 80.59,18.33%,2.16,14.74,3.30%,9.40%,-8.45%,0.42,2.93%,1.20,19.00%,79.60%,38.63%,1.50,32200,1.30,5.20%,19.00%,44.85,2.25% 1.83%,Yes,1.42,-33.80%,13.30%,1.02,74.70,Yes,1.19,Jul 27 BMO,70.70%,13.15M,73.78,2.20,-1.16%,-2.34%,8.14%,"13,452,422",-1.23%
NEE,Utilities,NextEra Energy Inc.,0.483836,84.5,S&P500,114.64,0.74,0.20%,1.96B,5.28%,163.13B,27.43,3.08,2.83%,1.96B,11.17%,1.46B,12.64,0.78,79.80%,1.23%,14.97%,16.23B,10.05,18.70%,0.26%,2.47,16.52%,18.27,4.62,2.60%,91.62,8.10%,0.76,110.44,9.07%,9.70%,67.22 - 93.73,-9.50%,1.70,37.23,3.00%,2.80%,-9.86%,0.44,2.01%,0.40,1.10%,-,25.69%,2.12,15000,0.50,-22.40%,17.90%,67.20,1.80% 2.18%,Yes,1.66,-127.20%,22.00%,1.17,84.54,Yes,1.42,Jul 22 BMO,84.60%,9.78M,84.49,2.00,5.83%,9.74%,4.43%,"11,474,328",-0.06%
PM,Consumer Staples,Philip Morris International Inc.,0.438814,97.46,S&P500,16.68,5.82,0.20%,1.55B,1.27%,146.92B,16.49,5.89,-4.93%,1.55B,-3.69%,9.06B,7.24,1.38,76.30%,0.47%,-5.14%,31.80B,4.62,13.00%,0.05%,1.32,-4.99%,-6.51,-,22.00%,109.17,-3.13%,3.06,31.79,2.31%,-86.80%,85.64 - 112.48,2.26%,5.00,40.37,5.40%,58.20%,-13.63%,0.65,5.15%,0.50,3.30%,66.60%,13.44%,2.21,69600,0.90,2.10%,40.80%,53.62,1.59% 2.16%,Yes,-,-3.10%,28.60%,0.77,97.17,Yes,-,Jul 21 BMO,83.20%,5.53M,97.15,2.40,3.09%,-2.42%,-0.97%,"4,267,305",-0.02%
T,Communication Services,AT&T Inc.,0.38751,18.75,S&P500,6.89,2.73,0.12%,7.17B,2.07%,138.25B,7.52,2.50,0.00%,7.15B,-10.36%,19.94B,-,0.62,54.40%,1.08%,-3.30%,148.63B,0.93,468.40%,0.30%,1.83,2.84%,23.57,0.80,3.60%,22.85,-12.32%,5.24,3.58,-4.76%,12.00%,16.67 - 21.62,0.83%,1.11,13.34,5.70%,5.20%,-13.12%,0.47,5.91%,0.90,0.60%,54.60%,12.65%,0.50,203000,0.90,-32.40%,15.70%,36.24,1.86% 1.92%,Yes,1.23,-40.20%,13.40%,0.97,18.58,Yes,1.07,Jul 21 BMO,75.00%,42.22M,18.78,2.60,-6.57%,-7.92%,-1.77%,"40,779,194",1.08%
WFC,Financials,Wells Fargo & Company,0.478357,43.76,S&P500,9.12,4.81,0.10%,3.83B,1.62%,166.82B,8.70,5.04,-0.61%,3.79B,10.48%,19.39B,1.25,1.10,73.70%,0.84%,-2.88%,39.83B,4.19,-13.70%,-0.33%,1.37,-18.40%,41.55,1.06,1.00%,53.04,-5.66%,112.31,0.39,7.28%,12.20%,36.54 - 60.30,-8.57%,1.00,-,4.40%,10.50%,-27.25%,1.18,2.28%,-,-5.90%,-,20.06%,1.28,246577,-,1.30%,-,62.25,2.33% 2.98%,Yes,0.96,-14.10%,50.90%,0.75,43.32,Yes,0.96,Jul 15 BMO,12.00%,23.21M,43.87,2.00,6.48%,5.34%,-9.00%,"17,510,702",1.27%
INTC,Information Technology,Intel Corporation,0.473045,36.11,DJIA S&P500 NDQ100,6.04,6.01,0.06%,4.08B,-7.37%,153.81B,10.48,3.47,0.04%,-,-2.63%,24.62B,2.22,0.70,63.90%,-,-22.48%,77.70B,1.98,-1.60%,0.08%,1.89,-24.43%,25.28,1.44,14.80%,48.88,-32.38%,9.13,3.97,2.72%,26.30%,35.54 - 56.28,-29.50%,1.46,6.62,18.10%,13.20%,-35.48%,0.68,4.02%,1.70,5.90%,54.30%,2.17%,1.33,121100,2.10,-6.70%,27.30%,37.24,2.74% 2.80%,Yes,0.36,140.70%,31.70%,3.38,39.71,Yes,0.32,Jul 28 AMC,23.20%,37.02M,36.31,2.90,-5.54%,-8.80%,-22.60%,"125,118,220",-8.56%
RTX,Industrials,Raytheon Technologies Corporation,0.400714,93.21,S&P500,33.25,2.80,0.10%,1.49B,-1.06%,139.62B,16.11,5.79,-2.25%,1.48B,-0.10%,4.23B,2.05,1.12,81.00%,0.76%,-4.97%,64.85B,2.15,212.80%,0.20%,2.29,4.40%,48.74,1.91,2.60%,114.62,6.34%,4.03,23.12,16.20%,5.80%,79.00 - 106.02,8.31%,2.20,84.83,-15.90%,3.40%,-12.08%,1.17,2.36%,0.90,2.40%,20.00%,17.99%,2.38,174000,1.20,3.00%,6.70%,50.10,2.26% 2.40%,Yes,0.43,44.40%,6.50%,0.98,92.39,Yes,0.43,Jul 26 BMO,72.50%,4.93M,93.21,1.90,-0.12%,-0.51%,0.44%,"4,845,091",0.89%
LIN,Materials,Linde plc,0.435366,300.0,S&P500,38.90,7.76,0.10%,507.15M,5.76%,152.62B,23.08,13.09,0.79%,501.85M,3.63%,4.02B,3.73,2.96,81.50%,0.94%,-4.18%,31.76B,4.81,55.70%,0.00%,1.80,-3.00%,84.71,3.57,4.80%,355.80,0.85%,8.83,34.19,10.43%,9.10%,265.12 - 352.18,-12.83%,4.68,34.57,7.00%,6.40%,-14.25%,0.88,1.55%,0.70,23.90%,42.40%,13.91%,6.57,72507,0.80,13.40%,16.50%,61.94,1.94% 1.88%,Yes,0.38,23.60%,12.70%,0.66,296.93,Yes,0.30,Jul 28 BMO,55.50%,2.61M,302.00,1.70,7.53%,0.85%,-3.40%,"1,711,427",1.71%
QCOM,Information Technology,Qualcomm Incorporated,0.477848,144.96,S&P500 NDQ100,14.85,9.77,0.12%,1.12B,-5.62%,164.75B,11.08,13.09,-0.45%,1.12B,11.39%,11.16B,1.14,2.87,75.60%,1.52%,-2.11%,39.27B,4.20,74.00%,0.08%,1.73,-10.01%,11.85,12.24,26.70%,196.45,-3.93%,10.17,14.27,13.01%,104.30%,118.22 - 193.58,-20.68%,3.00,39.88,15.60%,33.20%,-25.06%,1.27,2.07%,1.30,7.30%,58.50%,22.70%,5.40,45000,1.60,40.70%,32.60%,53.86,2.90% 3.48%,Yes,1.18,68.10%,28.40%,1.20,146.45,Yes,0.91,Jul 27 AMC,27.50%,9.80M,145.06,2.00,3.06%,6.85%,-5.99%,"11,739,164",-0.95%
TXN,Information Technology,Texas Instruments Incorporated,0.471616,178.96,S&P500 NDQ100,20.46,8.74,0.10%,923.00M,9.15%,167.62B,20.11,8.89,-6.00%,920.26M,17.09%,8.18B,2.05,2.12,86.40%,1.81%,1.73%,18.96B,8.84,38.50%,0.30%,2.81,2.33%,15.19,11.78,34.90%,185.71,-5.76%,10.49,17.06,10.00%,64.60%,144.46 - 202.26,-5.08%,4.60,68.58,18.90%,37.10%,-11.55%,0.98,2.57%,4.70,6.50%,68.70%,23.83%,4.64,31000,5.50,14.40%,50.50%,71.75,2.88% 2.62%,Yes,0.55,25.80%,43.20%,1.12,175.75,Yes,0.52,Jul 26 AMC,49.00%,5.92M,178.89,2.60,12.35%,10.56%,1.29%,"6,617,592",1.79%
UPS,Industrials,United Parcel Service Inc. Class B,0.402764,194.88,S&P500,15.90,12.26,0.05%,874.00M,3.68%,169.41B,14.91,13.07,-16.08%,735.40M,7.60%,10.76B,2.78,3.16,71.40%,1.62%,2.49%,98.76B,1.72,852.10%,0.17%,3.53,0.03%,17.64,11.05,15.90%,216.29,1.61%,14.43,13.50,5.71%,82.00%,165.34 - 233.72,-9.07%,6.08,23.58,30.60%,25.20%,-16.61%,1.09,3.12%,1.50,9.60%,76.00%,17.87%,4.75,534000,1.50,6.40%,13.50%,65.44,2.85% 2.27%,Yes,1.42,-44.60%,10.90%,1.21,188.24,Yes,1.28,Jul 26 BMO,37.20%,3.38M,194.89,2.30,5.89%,8.11%,-1.90%,"4,091,713",3.53%
UNP,Industrials,Union Pacific Corporation,0.409363,227.0,S&P500,21.17,10.74,0.10%,642.88M,6.51%,141.75B,17.99,12.64,-0.64%,626.82M,6.64%,6.85B,1.46,3.05,80.90%,0.89%,-4.99%,23.43B,6.05,26.40%,0.31%,1.99,-7.07%,20.32,11.19,10.80%,240.96,4.59%,1.34,169.96,14.47%,52.00%,195.68 - 278.94,-9.78%,5.20,54.88,14.50%,16.80%,-18.51%,1.15,2.29%,0.50,1.80%,78.50%,16.16%,4.79,30452,0.70,13.90%,41.60%,66.92,2.17% 2.12%,Yes,2.52,7.50%,29.20%,0.84,223.74,Yes,2.33,Jul 21 BMO,43.90%,2.80M,227.30,2.10,6.91%,5.68%,-4.27%,"2,336,146",1.59%
AMGN,Health Care,Amgen Inc.,0.388677,246.05,DJIA S&P500 NDQ100,24.36,10.16,0.20%,548.00M,0.62%,132.11B,13.09,18.91,-1.30%,533.12M,0.83%,5.72B,3.43,4.39,81.30%,3.25%,3.92%,26.32B,5.02,-16.50%,0.12%,5.41,10.48%,1.67,148.19,9.30%,251.31,2.07%,12.26,20.19,7.10%,95.10%,198.64 - 258.45,10.00%,7.76,30.44,0.10%,17.10%,-4.25%,0.57,3.14%,1.10,2.50%,75.20%,24.58%,4.20,24200,1.40,5.70%,30.40%,51.62,1.78% 1.66%,Yes,40.23,-5.40%,21.70%,1.03,249.75,Yes,39.31,Aug 04 AMC,70.80%,3.20M,247.47,2.60,0.12%,0.70%,7.19%,"3,289,711",-0.91%
NKE,Consumer Discretionary,NIKE Inc. Class B,0.416213,115.0,DJIA S&P500,30.62,3.75,0.10%,1.57B,5.32%,185.00B,24.94,4.61,-7.62%,1.25B,11.30%,6.05B,2.50,0.94,83.30%,1.19%,-9.55%,46.71B,3.96,5.50%,0.04%,1.96,-20.55%,9.72,11.82,15.50%,140.23,-31.18%,8.07,14.23,12.27%,40.70%,99.53 - 179.10,-31.05%,1.22,71.35,8.40%,24.60%,-35.83%,1.02,1.06%,1.80,6.30%,46.00%,15.46%,3.59,79100,2.60,-0.90%,14.30%,59.64,2.97% 2.76%,Yes,0.62,-3.40%,12.90%,1.00,112.23,Yes,0.58,Jun 27 AMC,30.30%,7.58M,114.92,2.10,7.93%,4.44%,-16.67%,"7,546,370",2.40%
IBM,Information Technology,International Business Machines Corporation,0.338602,130.75,DJIA S&P500,20.72,6.31,0.10%,899.30M,1.98%,116.63B,12.91,10.13,-0.18%,898.65M,-7.05%,5.73B,2.30,1.91,57.00%,2.49%,-3.65%,59.68B,1.95,13.40%,-0.05%,3.99,-1.31%,21.18,6.18,4.10%,142.79,-3.52%,11.76,11.12,9.00%,28.00%,114.56 - 144.73,-2.15%,6.60,23.97,-16.20%,6.50%,-9.63%,0.88,5.05%,0.90,-6.40%,54.00%,14.17%,2.78,307600,0.90,7.70%,8.10%,41.57,1.19% 1.91%,Yes,2.85,82.80%,9.60%,1.03,129.22,Yes,2.44,Jul 18 AMC,102.40%,5.62M,130.79,2.60,-3.27%,-4.24%,0.28%,"5,779,432",1.21%
CVS,Health Care,CVS Health Corporation,0.364544,95.5,S&P500,15.90,6.02,0.20%,1.31B,1.72%,124.31B,10.65,8.99,-11.95%,1.30B,2.50%,8.00B,3.51,2.17,80.30%,1.07%,-5.13%,299.84B,0.41,8.80%,0.07%,2.69,-10.40%,56.27,1.70,3.40%,117.02,15.19%,8.73,10.96,4.53%,10.80%,79.33 - 111.25,-7.25%,2.20,8.56,3.90%,7.80%,-14.00%,0.75,2.30%,0.60,10.50%,39.80%,20.60%,1.93,300000,0.90,11.20%,4.20%,54.44,1.53% 1.86%,Yes,0.76,3.50%,2.70%,1.11,95.53,Yes,0.71,Aug 03 BMO,33.80%,5.18M,95.68,2.20,1.45%,1.54%,-2.79%,"5,728,374",0.16%
MDT,Health Care,Medtronic Plc,0.36479,93.5,S&P500,24.76,3.74,0.24%,1.34B,1.98%,122.31B,15.40,6.01,-0.21%,1.33B,2.32%,5.04B,1.96,1.12,84.20%,0.77%,-13.65%,31.69B,3.86,44.20%,0.16%,1.79,-10.33%,39.32,2.35,5.50%,111.32,-29.20%,8.00,11.57,12.66%,9.70%,86.70 - 135.89,-10.57%,2.72,47.11,5.20%,6.90%,-31.92%,0.77,2.94%,1.50,1.30%,68.50%,6.71%,1.65,95000,1.90,-1.20%,18.20%,55.16,1.38% 1.69%,Yes,0.46,10.30%,15.90%,1.20,93.47,Yes,0.39,May 26 BMO,67.10%,5.70M,92.52,2.10,2.79%,-0.85%,-12.19%,"6,867,843",-1.02%
AMT,Real Estate,American Tower Corporation,0.364027,271.4,S&P500,46.86,5.78,0.20%,455.95M,4.33%,123.82B,55.76,4.86,-3.21%,454.72M,6.98%,2.63B,3.54,0.96,91.50%,0.83%,7.40%,9.86B,12.56,49.50%,0.00%,1.85,14.55%,11.76,23.03,4.10%,289.17,-4.30%,4.25,63.77,13.24%,48.80%,220.00 - 303.72,-7.41%,5.72,211.47,23.40%,5.90%,-10.83%,0.45,2.11%,0.40,10.10%,70.50%,23.10%,7.00,6378,0.40,23.20%,30.60%,63.33,2.37% 2.46%,Yes,8.10,7.70%,26.70%,0.90,268.90,Yes,7.11,Jul 28 BMO,89.80%,2.03M,270.83,2.20,5.42%,6.79%,5.80%,"1,819,690",0.72%
AMD,Information Technology,Advanced Micro Devices Inc.,0.432773,94.52,S&P500 NDQ100,35.24,2.68,0.40%,1.39B,7.23%,158.29B,19.24,4.91,-4.54%,1.19B,21.13%,3.39B,1.25,1.03,68.30%,2.93%,5.39%,18.88B,8.39,24.70%,-0.06%,0.33,-7.92%,39.72,2.38,13.40%,128.30,-8.24%,3.90,24.23,28.10%,17.60%,71.60 - 164.46,-34.35%,-,47.79,44.60%,40.10%,-42.56%,1.96,-,2.00,30.90%,48.50%,31.94%,3.89,15500,2.40,70.90%,20.80%,63.48,4.06% 4.31%,Yes,0.03,23.60%,18.00%,0.72,91.67,Yes,0.03,Aug 02 AMC,0.00%,105.95M,94.47,2.20,15.20%,6.33%,-16.57%,"76,461,138",3.05%
HON,Industrials,Honeywell International Inc.,0.37768,192.46,DJIA S&P500 NDQ100,25.57,7.53,0.10%,684.70M,6.06%,129.97B,19.86,9.69,-5.59%,680.12M,11.12%,5.25B,2.69,2.03,75.50%,0.82%,1.34%,34.31B,3.79,17.80%,-0.05%,1.78,-4.08%,26.82,7.18,8.20%,206.59,-17.36%,14.47,13.30,9.50%,28.90%,167.35 - 236.86,-7.70%,3.92,82.00,5.00%,14.70%,-18.75%,1.05,2.04%,0.90,-2.60%,31.90%,15.00%,4.20,99000,1.20,-0.90%,20.00%,70.77,2.13% 2.01%,Yes,1.05,-19.00%,15.30%,0.93,190.44,Yes,0.69,Jul 28 BMO,37.30%,3.13M,192.46,2.40,9.18%,5.10%,-2.63%,"2,900,586",1.06%
SPGI,Financials,S&P Global Inc.,0.378792,376.93,S&P500,27.18,13.86,0.10%,275.20M,4.04%,127.88B,25.55,14.73,-4.38%,240.71M,12.49%,3.50B,2.59,2.95,93.80%,3.15%,-2.59%,8.67B,14.75,29.40%,0.30%,2.88,-4.69%,144.27,2.61,12.90%,410.06,-11.10%,-,-,10.50%,31.30%,311.87 - 484.21,-20.21%,3.40,56.18,9.50%,54.00%,-22.23%,1.03,0.90%,1.40,7.90%,72.10%,20.74%,8.53,22850,1.40,18.50%,57.90%,69.37,2.57% 2.26%,Yes,0.29,43.00%,40.40%,0.72,374.59,Yes,0.29,Aug 02 BMO,22.10%,2.63M,376.55,1.70,6.93%,9.94%,-6.27%,"1,901,957",0.52%
COP,Energy,ConocoPhillips,0.354438,97.83,S&P500,10.02,9.72,0.10%,1.30B,10.55%,127.16B,7.67,12.71,-41.05%,1.29B,6.53%,12.86B,0.49,3.90,81.50%,1.08%,0.65%,53.76B,2.37,342.80%,0.19%,1.67,9.84%,37.80,2.58,14.40%,123.40,73.01%,5.47,17.80,20.53%,28.10%,50.72 - 123.12,36.44%,3.01,14.32,32.60%,10.80%,-20.87%,1.38,3.09%,1.40,13.70%,51.20%,92.09%,3.98,9400,1.50,80.80%,32.90%,59.27,3.55% 3.78%,Yes,0.38,484.30%,23.90%,0.89,94.06,Yes,0.36,Aug 04 BMO,20.60%,8.31M,97.43,1.90,11.35%,-1.45%,9.80%,"7,380,090",3.58%
ELV,Health Care,Elevance Health Inc.,0.334824,477.1,S&P500,19.13,24.94,0.20%,240.70M,3.81%,115.09B,14.66,32.53,0.00%,239.86M,-1.74%,6.10B,1.54,7.14,93.60%,0.96%,-7.67%,149.13B,0.77,37.60%,0.25%,2.04,9.47%,148.78,3.21,6.20%,547.86,24.14%,26.76,17.83,12.43%,17.00%,355.43 - 533.68,2.93%,5.12,16.79,21.80%,11.70%,-10.60%,0.93,1.07%,-,10.30%,-,34.23%,14.23,98200,-,14.10%,5.80%,50.77,2.18% 2.71%,Yes,0.66,-6.30%,4.10%,0.78,475.73,Yes,0.59,Jul 20 BMO,19.10%,1.13M,477.10,2.00,0.22%,-0.87%,3.34%,"884,894",0.29%
LOW,Consumer Discretionary,Lowe's Companies Inc.,0.367486,191.3,S&P500,15.61,12.27,0.10%,660.00M,-2.07%,121.15B,13.12,14.60,0.00%,638.45M,8.76%,8.42B,1.66,4.62,79.60%,1.94%,-6.63%,95.49B,1.27,55.30%,0.14%,3.21,-15.23%,-10.42,-,17.40%,236.70,-1.08%,-,-,9.40%,-250.60%,170.12 - 263.31,-25.90%,4.20,25.33,28.20%,46.80%,-27.26%,1.26,2.19%,0.20,8.20%,33.50%,12.59%,5.04,200000,1.20,-3.10%,12.70%,58.05,2.69% 2.48%,Yes,-,9.40%,8.80%,1.17,190.80,Yes,-,May 18 BMO,24.40%,3.86M,191.53,1.90,3.41%,3.24%,-11.98%,"4,500,249",0.38%
ORCL,Information Technology,Oracle Corporation,0.352687,77.84,S&P500,32.43,2.40,43.20%,2.67B,3.93%,206.44B,13.23,5.88,-0.50%,1.51B,12.47%,6.72B,2.69,1.07,43.20%,1.02%,2.23%,42.44B,4.86,-47.00%,0.09%,1.88,-2.43%,-2.33,-,6.00%,88.28,-11.17%,8.26,9.43,12.07%,-101.20%,63.76 - 106.34,-10.74%,1.28,131.41,1.50%,14.40%,-26.80%,0.85,1.64%,-,2.30%,79.10%,22.08%,1.64,143000,1.60,5.50%,25.70%,69.57,2.03% 2.06%,Yes,-,-15.20%,15.80%,0.72,77.04,Yes,-,Jun 13 AMC,51.40%,8.23M,77.84,2.70,7.62%,9.97%,-4.50%,"5,915,175",1.04%
INTU,Information Technology,Intuit Inc.,0.369097,455.7,S&P500 NDQ100,51.80,8.81,0.20%,282.00M,4.93%,128.66B,32.92,13.86,-11.38%,274.17M,17.07%,2.50B,3.00,0.98,87.20%,0.93%,2.61%,12.87B,9.99,9.20%,0.77%,1.35,-11.80%,60.15,7.58,11.70%,518.17,-13.19%,13.84,32.96,17.24%,19.20%,339.36 - 716.86,-29.08%,2.72,39.86,20.00%,16.90%,-36.37%,1.15,0.60%,1.60,15.50%,82.40%,34.42%,16.28,13500,1.60,35.00%,23.70%,66.15,3.75% 3.74%,Yes,0.00,18.30%,19.40%,1.15,448.59,Yes,0.40,May 24 AMC,28.40%,1.90M,456.17,1.80,12.01%,15.06%,-9.63%,"2,176,199",1.69%
MS,Financials,Morgan Stanley,0.338182,84.0,S&P500,11.40,7.40,0.30%,1.73B,2.27%,146.29B,10.73,7.86,-0.67%,1.34B,7.81%,13.11B,7.17,1.53,65.30%,1.18%,1.08%,59.58B,2.46,24.20%,0.11%,1.94,-16.66%,54.91,1.54,1.20%,95.48,-12.44%,78.42,1.07,1.59%,14.90%,72.05 - 109.73,-14.12%,3.10,5.23,22.40%,2.00%,-23.18%,1.41,3.68%,-,10.00%,90.30%,17.00%,2.16,77000,-,-5.50%,33.00%,64.87,2.14% 2.45%,Yes,6.99,-7.90%,24.40%,1.05,82.95,Yes,2.37,Jul 14 BMO,25.70%,8.15M,84.30,-,7.11%,6.04%,-7.58%,"8,589,087",1.63%
GS,Financials,Goldman Sachs Group Inc.,0.329298,333.0,DJIA S&P500,7.54,44.23,0.10%,351.20M,2.92%,115.42B,8.55,38.98,-2.74%,341.54M,9.93%,15.71B,-,8.27,71.00%,1.47%,4.70%,58.31B,1.98,140.30%,-0.18%,1.93,-2.24%,297.65,1.12,1.40%,394.07,-11.70%,791.90,0.42,-7.91%,21.50%,277.84 - 426.16,-12.85%,10.00,-,29.60%,2.20%,-21.77%,1.39,3.00%,-,11.30%,79.10%,19.99%,8.52,45100,-,-25.70%,46.40%,67.26,2.05% 2.57%,Yes,8.90,-42.10%,36.30%,0.81,329.11,Yes,2.56,Jul 18 BMO,10.80%,2.60M,333.39,2.20,8.93%,9.12%,-4.29%,"2,109,065",1.30%
LMT,Industrials,Lockheed Martin Corporation,0.280184,413.81,S&P500,23.94,17.29,0.06%,265.80M,4.83%,109.85B,14.70,28.14,-11.50%,264.99M,-1.21%,4.71B,2.49,6.70,76.60%,0.96%,-6.32%,64.17B,1.71,-7.10%,0.10%,2.01,6.36%,43.01,9.62,9.10%,461.28,11.06%,6.69,61.89,9.60%,44.80%,324.23 - 479.99,16.43%,11.20,24.63,13.50%,27.30%,-13.79%,0.69,2.71%,1.10,7.20%,13.40%,27.63%,9.85,114000,1.30,-9.30%,10.80%,53.70,2.24% 2.49%,Yes,0.00,-82.20%,7.30%,1.18,406.08,Yes,1.02,Jul 19 BMO,63.40%,1.27M,413.81,2.50,1.54%,-1.72%,3.76%,"1,492,427",1.90%
NOW,Information Technology,ServiceNow Inc.,0.254925,444.05,S&P500,406.42,1.10,0.10%,200.09M,-0.02%,92.25B,48.04,9.30,-26.43%,199.86M,-6.52%,223.00M,15.02,1.54,90.30%,2.00%,-11.38%,6.26B,14.74,93.40%,-0.05%,2.18,-15.52%,19.98,22.36,2.20%,612.37,-23.83%,19.44,22.98,27.06%,6.20%,406.47 - 707.60,-31.19%,-,47.33,19.60%,4.50%,-36.88%,1.00,-,1.10,33.50%,77.30%,9.89%,21.72,16881,1.10,26.60%,3.90%,48.04,4.77% 4.50%,Yes,0.39,-8.80%,3.60%,1.10,436.50,Yes,0.37,Jul 27 AMC,0.00%,1.83M,446.66,1.80,-1.97%,-3.05%,-19.19%,"2,016,000",2.33%
SCHW,Financials,Charles Schwab Corp,0.297456,69.05,S&P500,22.71,3.04,0.10%,1.89B,9.62%,131.23B,14.72,4.69,-33.19%,1.70B,8.54%,5.79B,1.20,1.04,75.30%,0.86%,-0.10%,19.60B,6.70,33.20%,0.13%,1.84,-23.02%,19.75,3.50,0.80%,86.82,0.70%,47.95,1.44,18.89%,12.00%,59.35 - 96.24,-17.90%,0.80,109.09,16.60%,1.10%,-28.25%,1.08,1.16%,-,20.00%,97.20%,16.34%,2.05,34200,-,-0.20%,39.40%,65.30,4.01% 2.88%,Yes,13.15,-8.60%,27.40%,1.25,67.70,Yes,0.58,Jul 18 BMO,25.40%,7.95M,69.05,1.90,9.56%,7.71%,-11.33%,"9,923,569",1.99%
