,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
ADBE,Information Technology,Adobe Incorporated,0.56869,391.65,S&P 500,38.28,10.24,0.10%,472.00M,4.46%,186.64B,24.74,15.84,-5.49%,463.03M,4.07%,4.89B,2.69,3.33,85.00%,1.21%,-4.09%,16.69B,11.18,-7.60%,0.04%,1.79,-21.59%,29.63,13.23,18.50%,466.24,-37.37%,11.13,35.22,14.23%,34.30%,338.00 - 699.54,-30.88%,-,27.21,34.00%,26.00%,-43.97%,1.12,-,1.10,21.90%,87.90%,15.96%,13.32,25988,1.10,14.40%,36.20%,52.20,3.17% 3.14%,Yes,0.30,7.30%,29.30%,0.75,401.90,Yes,0.26,Jun 16 AMC,0.00%,3.12M,391.96,1.90,2.65%,-0.14%,-20.92%,"2,330,467",-2.47%
WMT,Consumer Staples,Walmart Inc.,0.555852,132.02,DJIA S&P500,28.37,4.65,0.90%,2.75B,2.52%,362.82B,18.97,6.96,-14.40%,1.43B,6.80%,13.00B,2.74,1.81,33.10%,0.85%,-15.84%,576.01B,0.63,2.70%,0.31%,1.36,-5.83%,27.92,4.73,5.30%,154.04,-7.31%,4.30,30.70,10.35%,16.10%,117.27 - 160.77,-8.76%,2.24,-,2.10%,14.30%,-17.88%,0.54,1.70%,0.20,3.30%,24.90%,12.58%,2.27,2300000,0.90,2.40%,3.70%,66.61,1.32% 1.72%,Yes,0.68,-23.00%,2.30%,0.57,132.21,Yes,0.48,May 17 BMO,47.30%,8.99M,132.02,2.00,4.66%,4.53%,-5.62%,"5,096,318",-0.14%
CRM,Information Technology,Salesforce Inc.,0.542907,177.29,DJIA S&P500,172.13,1.03,0.10%,991.00M,5.60%,179.19B,30.55,5.80,-49.41%,962.18M,2.45%,1.00B,10.74,1.02,79.70%,1.26%,3.42%,27.94B,6.41,-66.30%,-0.02%,1.54,-18.91%,59.41,2.98,1.10%,245.64,-28.58%,13.36,13.27,16.02%,1.70%,154.55 - 311.75,-30.24%,-,31.31,26.30%,0.60%,-43.13%,1.09,-,1.00,25.70%,73.10%,14.71%,6.90,73541,1.00,24.30%,0.60%,53.28,3.80% 3.66%,Yes,0.18,-94.40%,3.60%,0.56,182.47,Yes,0.16,May 31 AMC,0.00%,7.90M,177.29,1.80,2.36%,4.02%,-19.51%,"4,389,387",-2.84%
DHR,Health Care,Danaher Corporation,0.530673,273.38,S&P 500,32.19,8.49,0.30%,726.70M,10.65%,202.68B,25.22,10.84,-1.60%,646.15M,7.13%,6.21B,3.08,2.28,80.60%,0.75%,3.33%,30.82B,6.58,73.90%,0.25%,1.87,-2.52%,61.82,4.42,7.50%,324.08,-6.14%,5.37,50.87,10.45%,14.60%,233.71 - 333.96,-16.91%,1.00,32.39,22.50%,9.60%,-18.14%,0.85,0.37%,1.30,11.80%,60.80%,16.98%,8.13,78000,1.80,7.40%,25.10%,60.49,2.44% 2.59%,Yes,0.45,-1.20%,20.10%,0.86,273.84,Yes,0.45,Jul 21 BMO,10.20%,2.59M,273.38,1.90,6.02%,7.42%,-3.21%,"2,214,934",-0.17%
BMY,Health Care,Bristol-Myers Squibb Company,0.465124,72.84,S&P 500,25.87,2.82,0.10%,2.15B,-1.22%,155.27B,9.06,8.04,-10.90%,2.13B,-6.24%,6.25B,5.78,1.81,79.20%,1.83%,-3.84%,46.96B,3.31,178.00%,0.18%,2.87,14.64%,14.72,4.95,5.80%,80.83,6.58%,7.02,10.37,4.47%,17.70%,53.22 - 80.59,16.82%,2.16,14.55,3.30%,9.40%,-9.62%,0.42,2.97%,1.20,19.00%,79.60%,36.87%,1.36,32200,1.30,5.20%,19.00%,38.13,1.51% 1.68%,Yes,1.42,-33.80%,13.30%,0.46,72.95,Yes,1.19,Jul 27 BMO,70.70%,13.57M,72.84,2.20,-3.71%,-3.82%,7.26%,"6,245,905",-0.15%
NEE,Utilities,NextEra Energy Inc.,0.472119,80.98,S&P 500,109.88,0.74,0.20%,1.96B,4.48%,156.35B,26.29,3.08,2.88%,1.96B,4.90%,1.46B,12.11,0.78,79.80%,1.05%,9.51%,16.23B,9.63,18.70%,0.26%,2.05,-1.96%,18.27,4.43,2.60%,91.62,4.90%,0.76,105.86,9.07%,9.70%,67.22 - 93.73,-13.26%,1.70,35.68,3.00%,2.80%,-13.60%,0.44,2.10%,0.40,1.10%,-,20.47%,2.08,15000,0.50,-22.40%,17.90%,59.86,2.00% 2.20%,Yes,1.66,-127.20%,22.00%,0.50,80.25,Yes,1.42,Jul 22 BMO,84.60%,10.06M,80.98,2.00,2.55%,6.49%,0.13%,"5,028,383",0.91%
PM,Consumer Staples,Philip Morris International Inc.,0.44532,95.84,S&P 500,16.46,5.82,0.20%,1.55B,7.07%,144.94B,16.26,5.89,-4.93%,1.55B,-5.64%,9.06B,7.14,1.38,76.30%,0.61%,-6.67%,31.80B,4.56,13.00%,0.05%,1.74,-6.88%,-6.51,-,22.00%,109.17,-2.60%,3.06,31.36,2.31%,-86.80%,85.64 - 112.48,0.88%,5.00,39.83,5.40%,58.20%,-14.79%,0.65,5.22%,0.50,3.30%,66.60%,11.91%,2.37,69600,0.90,2.10%,40.80%,50.23,2.47% 2.28%,Yes,-,-3.10%,28.60%,0.98,95.93,Yes,-,Jul 21 BMO,83.20%,5.46M,95.84,2.40,0.48%,-4.33%,-2.29%,"5,352,435",-0.09%
T,Communication Services,AT&T Inc.,0.39448,18.53,S&P 500,6.80,2.73,0.12%,7.17B,-9.74%,136.41B,7.42,2.50,0.00%,7.15B,-10.09%,19.94B,-,0.62,54.40%,1.16%,-5.07%,148.63B,0.92,468.40%,0.30%,1.89,-8.03%,23.57,0.79,3.60%,22.85,-13.06%,5.24,3.54,-4.76%,12.00%,16.67 - 21.62,-0.51%,1.11,13.16,5.70%,5.20%,-14.28%,0.47,5.99%,0.90,0.60%,54.60%,11.15%,0.56,203000,0.90,-32.40%,15.70%,29.34,2.54% 1.99%,Yes,1.23,-40.20%,13.40%,0.90,18.40,Yes,1.07,Jul 21 BMO,75.00%,43.83M,18.53,2.60,-9.95%,-9.63%,-3.27%,"39,406,922",0.71%
WFC,Financials,Wells Fargo & Company,0.490022,43.5,S&P 500,9.05,4.81,0.10%,3.83B,5.61%,165.42B,8.62,5.04,-0.61%,3.79B,14.78%,19.39B,1.24,1.10,73.70%,0.82%,-6.13%,39.83B,4.15,-13.70%,-0.33%,1.32,-18.95%,41.55,1.05,1.00%,53.04,-2.44%,112.31,0.39,7.28%,12.20%,36.54 - 60.30,-9.34%,1.00,-,4.40%,10.50%,-27.86%,1.18,2.30%,-,-5.90%,-,19.05%,1.38,246577,-,1.30%,-,63.05,2.18% 3.24%,Yes,0.96,-14.10%,50.90%,0.86,43.17,Yes,0.96,Jul 15 BMO,12.00%,23.51M,43.50,2.00,7.21%,4.66%,-9.93%,"20,250,312",0.76%
INTC,Information Technology,Intel Corporation,0.480018,39.2,DJIA S&P500,6.51,6.01,0.06%,4.08B,1.16%,165.88B,11.30,3.47,0.04%,-,4.68%,24.62B,2.39,0.70,63.90%,-,-15.86%,77.70B,2.13,-1.60%,0.08%,2.07,-24.75%,25.28,1.55,14.80%,48.88,-26.11%,9.13,4.29,2.72%,26.30%,35.54 - 56.28,-23.96%,1.46,7.14,18.10%,13.20%,-30.42%,0.68,3.73%,1.70,5.90%,54.30%,10.19%,1.13,121100,2.10,-6.70%,27.30%,50.95,2.99% 2.68%,Yes,0.36,140.70%,31.70%,0.88,39.20,Yes,0.32,Jul 28 AMC,23.20%,36.59M,39.16,2.90,2.63%,-2.34%,-17.03%,"32,132,086",-0.10%
RTX,Industrials,Raytheon Technologies Corporation,0.420024,94.57,S&P 500,33.74,2.80,0.10%,1.49B,5.31%,141.66B,16.35,5.79,-2.25%,1.48B,3.06%,4.23B,2.08,1.12,81.00%,0.84%,-5.89%,64.85B,2.18,212.80%,0.20%,2.49,8.44%,48.74,1.94,2.60%,114.62,10.21%,4.03,23.45,16.20%,5.80%,79.00 - 106.02,9.89%,2.20,86.06,-15.90%,3.40%,-10.80%,1.17,2.33%,0.90,2.40%,20.00%,19.71%,2.36,174000,1.20,3.00%,6.70%,52.53,2.48% 2.38%,Yes,0.43,44.40%,6.50%,0.96,94.21,Yes,0.43,Jul 26 BMO,72.50%,4.98M,94.57,1.90,0.87%,0.96%,1.95%,"4,763,423",0.38%
LIN,Materials,Linde plc,0.430362,288.09,S&P 500,37.11,7.76,0.10%,507.15M,3.95%,145.59B,22.02,13.09,0.79%,501.85M,-2.94%,4.02B,3.56,2.96,81.50%,1.08%,-6.98%,31.76B,4.58,55.70%,0.00%,2.05,-8.87%,84.71,3.40,4.80%,355.80,-3.59%,8.83,32.61,10.43%,9.10%,265.12 - 352.18,-16.84%,4.68,32.98,7.00%,6.40%,-18.20%,0.88,1.62%,0.70,23.90%,42.40%,8.66%,6.71,72507,0.80,13.40%,16.50%,50.63,1.63% 1.85%,Yes,0.38,23.60%,12.70%,0.55,285.54,Yes,0.30,Jul 28 BMO,55.50%,2.65M,288.09,1.70,2.17%,-4.17%,-7.88%,"1,455,566",0.89%
QCOM,Information Technology,Qualcomm Incorporated,0.515519,153.25,S&P 500,15.69,9.77,0.12%,1.12B,8.16%,174.05B,11.71,13.09,-0.45%,1.12B,27.61%,11.16B,1.21,2.87,75.60%,1.62%,15.39%,39.27B,4.43,74.00%,0.08%,1.78,-7.08%,11.85,12.93,26.70%,196.45,5.78%,10.17,15.07,13.01%,104.30%,118.22 - 193.58,-16.20%,3.00,42.13,15.60%,33.20%,-20.83%,1.27,1.96%,1.30,7.30%,58.50%,29.63%,5.28,45000,1.60,40.70%,32.60%,66.84,3.10% 3.73%,Yes,1.18,68.10%,28.40%,0.48,153.70,Yes,0.91,Jul 27 AMC,27.50%,10.17M,153.25,2.00,12.43%,14.06%,-0.38%,"4,894,395",-0.29%
TXN,Information Technology,Texas Instruments Incorporated,0.452111,163.5,S&P 500,18.66,8.74,0.10%,923.00M,2.21%,152.92B,18.35,8.89,-6.00%,920.26M,7.98%,8.18B,1.87,2.12,86.40%,1.83%,-5.83%,18.96B,8.07,38.50%,0.30%,2.77,-7.08%,15.19,10.74,34.90%,185.71,-12.66%,10.49,15.56,10.00%,64.60%,144.46 - 202.26,-13.41%,4.60,62.57,18.90%,37.10%,-19.31%,0.98,2.82%,4.70,6.50%,68.70%,12.97%,4.05,31000,5.50,14.40%,50.50%,56.77,2.49% 2.43%,Yes,0.55,25.80%,43.20%,0.69,163.90,Yes,0.52,Jul 26 AMC,49.00%,6.10M,163.20,2.60,4.23%,0.89%,-7.87%,"4,196,577",-0.43%
UPS,Industrials,United Parcel Service Inc. Class B,0.413448,187.91,S&P 500,15.33,12.26,0.05%,874.00M,4.35%,163.34B,14.38,13.07,-16.08%,735.40M,5.20%,10.76B,2.68,3.16,71.40%,1.54%,0.41%,98.76B,1.65,852.10%,0.17%,3.24,-6.95%,17.64,10.65,15.90%,216.29,-11.21%,14.43,13.02,5.71%,82.00%,165.34 - 233.72,-12.33%,6.08,22.73,30.60%,25.20%,-19.60%,1.09,3.24%,1.50,9.60%,76.00%,13.65%,4.21,534000,1.50,6.40%,13.50%,60.16,1.83% 2.13%,Yes,1.42,-44.60%,10.90%,0.80,187.98,Yes,1.28,Jul 26 BMO,37.20%,3.50M,187.91,2.30,2.53%,4.56%,-5.38%,"2,804,199",-0.04%
UNP,Industrials,Union Pacific Corporation,0.401354,217.36,S&P 500,20.24,10.74,0.10%,642.88M,3.40%,135.55B,17.20,12.64,-0.64%,626.82M,3.63%,6.85B,1.40,3.05,80.90%,0.87%,-7.23%,23.43B,5.79,26.40%,0.31%,1.88,-11.76%,20.32,10.70,10.80%,240.96,-1.27%,1.34,162.53,14.47%,52.00%,195.68 - 278.94,-13.72%,5.20,52.48,14.50%,16.80%,-22.08%,1.15,2.39%,0.50,1.80%,78.50%,11.08%,4.82,30452,0.70,13.90%,41.60%,56.44,2.12% 2.20%,Yes,2.52,7.50%,29.20%,0.85,213.40,Yes,2.33,Jul 21 BMO,43.90%,2.89M,217.36,2.10,2.73%,0.76%,-8.41%,"2,440,837",1.86%
AMGN,Health Care,Amgen Inc.,0.393462,248.72,DJIA S&P500,24.49,10.16,0.20%,548.00M,2.00%,132.77B,13.15,18.91,-1.30%,533.12M,2.32%,5.72B,3.45,4.39,81.30%,3.23%,-0.65%,26.32B,5.05,-16.50%,0.12%,5.21,9.22%,1.67,148.93,9.30%,251.31,0.40%,12.26,20.29,7.10%,95.10%,198.64 - 258.45,10.56%,7.76,30.59,0.10%,17.10%,-3.76%,0.57,3.12%,1.10,2.50%,75.20%,25.21%,4.18,24200,1.40,5.70%,30.40%,56.47,1.32% 1.53%,Yes,40.23,-5.40%,21.70%,0.53,245.95,Yes,39.31,Aug 04 AMC,70.80%,3.31M,248.72,2.60,1.07%,1.44%,8.12%,"1,765,509",1.13%
NKE,Consumer Discretionary,NIKE Inc. Class B,0.415981,109.28,DJIA S&P500,29.12,3.75,0.10%,1.57B,5.14%,175.92B,23.72,4.61,-12.63%,1.25B,1.19%,6.05B,2.37,0.94,83.30%,1.19%,-15.33%,46.71B,3.77,5.50%,0.04%,1.96,-23.55%,9.72,11.24,15.50%,140.23,-34.31%,8.07,13.54,12.27%,40.70%,99.53 - 179.10,-34.43%,1.22,67.84,8.40%,24.60%,-38.98%,1.02,1.12%,1.80,6.30%,46.00%,9.80%,3.45,79100,2.60,-0.90%,14.30%,51.73,2.53% 3.16%,Yes,0.62,-3.40%,12.90%,0.66,109.12,Yes,0.58,Jun 27 AMC,30.30%,7.57M,109.28,2.10,2.89%,-0.81%,-21.24%,"5,019,943",0.15%
IBM,Information Technology,International Business Machines Corporation,0.34545,128.54,DJIA S&P500,20.36,6.31,0.10%,899.30M,-6.94%,114.62B,12.68,10.13,-0.18%,898.65M,-7.15%,5.73B,2.26,1.91,57.00%,2.47%,-7.02%,59.68B,1.92,13.40%,-0.05%,3.92,-0.63%,21.18,6.07,4.10%,142.79,-4.79%,11.76,10.93,9.00%,28.00%,114.56 - 144.73,-3.83%,6.60,23.56,-16.20%,6.50%,-11.19%,0.88,5.13%,0.90,-6.40%,54.00%,12.20%,3.20,307600,0.90,7.70%,8.10%,34.08,2.37% 2.08%,Yes,2.85,82.80%,9.60%,0.83,128.25,Yes,2.44,Jul 18 AMC,102.40%,5.67M,128.54,2.60,-6.74%,-6.12%,-1.56%,"4,685,446",0.23%
CVS,Health Care,CVS Health Corporation,0.368968,94.49,S&P 500,15.70,6.02,0.20%,1.31B,0.21%,122.76B,10.52,8.99,-13.95%,1.30B,2.30%,8.00B,3.47,2.17,80.30%,1.09%,-7.07%,299.84B,0.41,8.80%,0.07%,2.72,-6.96%,56.27,1.68,3.40%,117.02,13.47%,8.73,10.82,4.53%,10.80%,79.33 - 111.25,-8.40%,2.20,8.45,3.90%,7.80%,-15.07%,0.75,2.33%,0.60,10.50%,39.80%,19.10%,2.15,300000,0.90,11.20%,4.20%,51.00,1.78% 1.96%,Yes,0.76,3.50%,2.70%,0.91,94.06,Yes,0.71,Aug 03 BMO,33.80%,5.21M,94.49,2.20,0.49%,0.04%,-3.77%,"4,747,476",0.46%
MDT,Health Care,Medtronic Plc,0.363955,90.75,S&P 500,24.29,3.74,0.24%,1.34B,3.24%,119.97B,15.10,6.01,-0.21%,1.33B,2.35%,5.04B,1.92,1.12,84.20%,0.73%,-15.82%,31.69B,3.79,44.20%,0.16%,1.70,-14.06%,39.32,2.31,5.50%,111.32,-29.40%,8.00,11.35,12.66%,9.70%,86.70 - 135.89,-12.28%,2.72,46.21,5.20%,6.90%,-33.22%,0.77,3.00%,1.50,1.30%,68.50%,4.67%,1.76,95000,1.90,-1.20%,18.20%,50.06,1.70% 1.84%,Yes,0.46,10.30%,15.90%,0.65,90.72,Yes,0.39,May 26 BMO,67.10%,5.72M,90.75,2.10,1.33%,-3.55%,-14.41%,"3,714,482",0.03%
AMT,Real Estate,American Tower Corporation,0.361261,257.34,S&P 500,44.52,5.78,0.20%,455.95M,3.25%,117.65B,52.98,4.86,-3.21%,454.72M,-0.38%,2.63B,3.36,0.96,91.50%,1.06%,-1.74%,9.86B,11.93,49.50%,0.00%,2.35,5.14%,11.76,21.88,4.10%,289.17,-9.79%,4.25,60.60,13.24%,48.80%,220.00 - 303.72,-12.02%,5.72,200.94,23.40%,5.90%,-15.27%,0.45,2.22%,0.40,10.10%,70.50%,16.97%,7.08,6378,0.40,23.20%,30.60%,52.75,2.42% 2.47%,Yes,8.10,7.70%,26.70%,0.78,259.60,Yes,7.11,Jul 28 BMO,89.80%,2.04M,257.34,2.20,0.49%,2.52%,0.50%,"1,589,692",-0.87%
AMD,Information Technology,Advanced Micro Devices Inc.,0.427543,87.24,S&P 500,32.65,2.68,0.40%,1.39B,7.50%,146.67B,17.83,4.91,-4.54%,1.19B,6.20%,3.39B,1.16,1.03,68.30%,2.73%,-0.68%,18.88B,7.77,24.70%,-0.06%,0.30,-26.32%,39.72,2.20,13.40%,128.30,-5.00%,3.90,22.45,28.10%,17.60%,71.60 - 164.46,-39.17%,-,44.29,44.60%,40.10%,-46.77%,1.96,-,2.00,30.90%,48.50%,22.26%,3.94,15500,2.40,70.90%,20.80%,55.10,4.35% 4.48%,Yes,0.03,23.60%,18.00%,0.65,88.10,Yes,0.03,Aug 02 AMC,0.00%,106.93M,87.54,2.20,8.22%,-1.69%,-22.92%,"69,879,001",-0.64%
HON,Industrials,Honeywell International Inc.,0.369946,181.18,DJIA S&P500,24.08,7.53,0.10%,684.70M,6.03%,122.41B,18.70,9.69,-5.59%,680.12M,3.83%,5.25B,2.53,2.03,75.50%,0.92%,-4.92%,34.31B,3.57,17.80%,-0.05%,1.99,-11.62%,26.82,6.76,8.20%,206.59,-20.96%,14.47,12.52,9.50%,28.90%,167.35 - 236.86,-13.07%,3.92,77.23,5.00%,14.70%,-23.47%,1.05,2.16%,0.90,-2.60%,31.90%,8.31%,3.89,99000,1.20,-0.90%,20.00%,56.01,1.73% 2.08%,Yes,1.05,-19.00%,15.30%,0.62,181.47,Yes,0.69,Jul 28 BMO,37.30%,3.14M,181.26,2.40,3.68%,-1.40%,-8.60%,"1,936,894",-0.12%
SPGI,Financials,S&P Global Inc.,0.376227,354.03,S&P 500,25.55,13.86,0.10%,275.20M,2.51%,120.23B,24.03,14.73,-4.38%,240.71M,6.08%,3.50B,2.43,2.95,93.80%,3.28%,-6.75%,8.67B,13.87,29.40%,0.30%,3.00,-15.09%,144.27,2.45,12.90%,410.06,-15.41%,-,-,10.50%,31.30%,311.87 - 484.21,-24.98%,3.40,52.82,9.50%,54.00%,-26.89%,1.03,0.96%,1.40,7.90%,72.10%,13.52%,8.26,22850,1.40,18.50%,57.90%,55.71,1.84% 2.23%,Yes,0.29,43.00%,40.40%,0.80,361.94,Yes,0.29,Aug 02 BMO,22.10%,2.63M,354.03,1.70,1.93%,4.08%,-12.18%,"2,089,012",-2.19%
COP,Energy,ConocoPhillips,0.341372,92.05,S&P 500,9.47,9.72,0.10%,1.30B,8.21%,120.14B,7.24,12.71,-41.05%,1.29B,5.55%,12.86B,0.46,3.90,81.50%,1.08%,-3.38%,53.76B,2.23,342.80%,0.19%,1.64,12.48%,37.80,2.44,14.40%,123.40,68.59%,5.47,16.82,20.53%,28.10%,50.72 - 123.12,28.90%,3.01,13.53,32.60%,10.80%,-25.24%,1.38,3.27%,1.40,13.70%,51.20%,81.48%,4.45,9400,1.50,80.80%,32.90%,51.39,3.92% 4.02%,Yes,0.38,484.30%,23.90%,0.68,88.13,Yes,0.36,Aug 04 BMO,20.60%,8.48M,92.05,1.90,5.28%,-7.52%,4.22%,"5,798,175",4.45%
ELV,Health Care,Elevance Health Inc.,0.332501,470.86,S&P 500,18.88,24.94,0.20%,240.70M,-2.07%,113.58B,14.47,32.53,0.00%,239.86M,-0.31%,6.10B,1.52,7.14,93.60%,0.95%,-6.32%,149.13B,0.76,37.60%,0.25%,1.98,6.64%,148.78,3.16,6.20%,547.86,23.17%,26.76,17.59,12.43%,17.00%,355.43 - 533.68,1.58%,5.12,16.57,21.80%,11.70%,-11.77%,0.93,1.09%,-,10.30%,-,32.47%,15.74,98200,-,14.10%,5.80%,47.70,3.64% 2.97%,Yes,0.66,-6.30%,4.10%,0.75,459.60,Yes,0.59,Jul 20 BMO,19.10%,1.15M,470.86,2.00,-1.38%,-2.45%,2.39%,"860,180",2.45%
LOW,Consumer Discretionary,Lowe's Companies Inc.,0.387221,194.8,S&P 500,15.88,12.27,0.10%,660.00M,4.85%,123.22B,13.35,14.60,0.00%,638.45M,10.47%,8.42B,1.69,4.62,79.60%,1.84%,-1.15%,95.49B,1.29,55.30%,0.14%,3.07,-13.43%,-10.42,-,17.40%,236.70,-3.01%,-,-,9.40%,-250.60%,170.12 - 263.31,-24.64%,4.20,25.77,28.20%,46.80%,-26.02%,1.26,2.16%,0.20,8.20%,33.50%,14.51%,4.67,200000,1.20,-3.10%,12.70%,65.77,2.12% 2.53%,Yes,-,9.40%,8.80%,0.65,195.58,Yes,-,May 18 BMO,24.40%,3.83M,194.80,1.90,6.51%,4.96%,-10.61%,"2,483,875",-0.40%
ORCL,Information Technology,Oracle Corporation,0.352475,74.86,S&P 500,31.19,2.40,43.20%,2.67B,6.62%,198.54B,12.73,5.88,-0.50%,1.51B,10.69%,6.72B,2.58,1.07,43.20%,0.87%,-1.77%,42.44B,4.68,-47.00%,0.09%,1.59,-8.95%,-2.33,-,6.00%,88.28,-14.63%,8.26,9.06,12.07%,-101.20%,63.76 - 106.34,-14.16%,1.28,126.38,1.50%,14.40%,-29.60%,0.85,1.71%,-,2.30%,79.10%,17.41%,1.70,143000,1.60,5.50%,25.70%,63.55,2.11% 2.24%,Yes,-,-15.20%,15.80%,0.69,74.90,Yes,-,Jun 13 AMC,51.40%,8.28M,74.86,2.70,5.16%,6.33%,-8.56%,"5,694,344",-0.05%
INTU,Information Technology,Intuit Inc.,0.367699,425.07,S&P 500,48.40,8.81,0.20%,282.00M,9.77%,120.21B,30.75,13.86,-11.38%,274.17M,6.35%,2.50B,2.81,0.98,87.20%,0.87%,-3.86%,12.87B,9.34,9.20%,0.77%,1.23,-19.36%,60.15,7.09,11.70%,518.17,-19.35%,13.84,30.79,17.24%,19.20%,339.36 - 716.86,-33.74%,2.72,37.24,20.00%,16.90%,-40.55%,1.15,0.64%,1.60,15.50%,82.40%,25.59%,15.93,13500,1.60,35.00%,23.70%,59.44,3.57% 3.75%,Yes,0.00,18.30%,19.40%,0.53,434.74,Yes,0.40,May 24 AMC,28.40%,1.93M,426.20,1.80,6.27%,9.05%,-15.90%,"1,021,696",-1.96%
MS,Financials,Morgan Stanley,0.345453,82.55,S&P 500,11.16,7.40,0.30%,1.73B,4.68%,143.25B,10.51,7.86,-1.02%,1.34B,11.60%,13.11B,7.02,1.53,65.30%,1.24%,-2.58%,59.58B,2.40,24.20%,0.11%,1.99,-16.50%,54.91,1.50,1.20%,95.48,-12.69%,78.42,1.05,1.59%,14.90%,72.05 - 109.73,-15.90%,3.10,5.12,22.40%,2.00%,-24.77%,1.41,3.76%,-,10.00%,90.30%,14.57%,2.29,77000,-,-5.50%,33.00%,62.85,2.05% 2.62%,Yes,6.99,-7.90%,24.40%,0.74,82.43,Yes,2.37,Jul 14 BMO,25.70%,8.33M,82.55,-,6.04%,4.12%,-9.83%,"6,203,468",0.15%
GS,Financials,Goldman Sachs Group Inc.,0.333173,324.12,DJIA S&P500,7.33,44.23,0.10%,351.20M,7.59%,112.21B,8.31,38.98,-2.74%,341.54M,13.26%,15.71B,-,8.27,71.00%,1.38%,1.36%,58.31B,1.92,140.30%,-0.18%,1.80,-5.75%,297.65,1.09,1.40%,394.07,-13.35%,791.90,0.41,-7.91%,21.50%,277.84 - 426.16,-15.27%,10.00,-,29.60%,2.20%,-23.94%,1.39,3.09%,-,11.30%,79.10%,16.66%,9.19,45100,-,-25.70%,46.40%,64.45,2.57% 2.73%,Yes,8.90,-42.10%,36.30%,1.54,323.93,Yes,2.56,Jul 18 BMO,10.80%,2.61M,324.12,2.20,7.48%,6.68%,-7.30%,"4,021,616",0.06%
LMT,Industrials,Lockheed Martin Corporation,0.279972,399.8,S&P 500,23.13,17.29,0.06%,265.80M,3.23%,106.13B,14.21,28.14,-11.50%,264.99M,-2.64%,4.71B,2.41,6.70,76.60%,0.97%,-10.32%,64.17B,1.65,-7.10%,0.10%,2.00,7.70%,43.01,9.30,9.10%,461.28,5.00%,6.69,59.79,9.60%,44.80%,324.23 - 479.99,12.49%,11.20,23.80,13.50%,27.30%,-16.71%,0.69,2.80%,1.10,7.20%,13.40%,23.31%,10.37,114000,1.30,-9.30%,10.80%,41.59,2.77% 2.43%,Yes,0.00,-82.20%,7.30%,0.80,394.74,Yes,1.02,Jul 19 BMO,63.40%,1.29M,399.80,2.50,-2.82%,-5.71%,0.49%,"1,036,482",1.28%
NOW,Information Technology,ServiceNow Inc.,0.268209,440.0,S&P 500,400.36,1.10,0.10%,200.09M,3.11%,90.87B,47.32,9.30,-26.43%,199.86M,-9.38%,223.00M,14.79,1.54,90.30%,2.11%,-6.66%,6.26B,14.52,93.40%,-0.05%,2.28,-13.34%,19.98,22.02,2.20%,612.37,-24.94%,19.44,22.64,27.06%,6.20%,406.47 - 707.60,-32.21%,-,46.63,19.60%,4.50%,-37.82%,1.00,-,1.10,33.50%,77.30%,8.25%,21.51,16881,1.10,26.60%,3.90%,44.23,3.93% 4.24%,Yes,0.39,-8.80%,3.60%,0.55,446.77,Yes,0.37,Jul 27 AMC,0.00%,1.85M,440.00,1.80,-5.55%,-4.45%,-20.94%,"1,026,645",-1.52%
SCHW,Financials,Charles Schwab Corp,0.284495,63.66,S&P 500,20.93,3.04,0.10%,1.89B,3.95%,120.99B,13.57,4.69,-33.19%,1.70B,2.63%,5.79B,1.11,1.04,75.30%,0.95%,-9.47%,19.60B,6.17,33.20%,0.13%,2.02,-28.63%,19.75,3.22,0.80%,86.82,-6.26%,47.95,1.33,18.89%,12.00%,59.35 - 96.24,-24.30%,0.80,100.57,16.60%,1.10%,-33.85%,1.08,1.26%,-,20.00%,97.20%,7.26%,1.74,34200,-,-0.20%,39.40%,51.33,2.00% 2.51%,Yes,13.15,-8.60%,27.40%,0.85,62.99,Yes,0.58,Jul 18 BMO,25.40%,7.92M,63.66,1.90,0.91%,-0.84%,-18.52%,"6,712,702",1.06%
